#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1653at4891_4|contig_13:269973-272027  -            685 1653at4891           -            641  6.5e-208  683.4   5.6   1   1  1.3e-207  3.1e-207  681.2   5.6   141   633     1   634     1   643 0.84 -
28907at4891_7|contig_13:512004-512831 -            276 1653at4891           -            641   1.4e-12   38.1   0.8   1   2    0.0029    0.0068    6.1   0.0   203   246    57    98    47   105 0.83 -
28907at4891_7|contig_13:512004-512831 -            276 1653at4891           -            641   1.4e-12   38.1   0.8   2   2   1.4e-10   3.3e-10   30.3   0.4    91   250   114   275   109   276 0.83 -
28907at4891_2|contig_20:858456-860021 -            521 1653at4891           -            641   4.5e-09   26.5   0.1   1   2   2.7e-06   6.3e-06   16.1   0.1   107   168   256   317   251   325 0.93 -
28907at4891_2|contig_20:858456-860021 -            521 1653at4891           -            641   4.5e-09   26.5   0.1   2   2   0.00066    0.0016    8.2   0.0    71   127   369   427   360   440 0.76 -
1653at4891|contig_2:489441-490874     -            478 1653at4891           -            641   5.1e-09   26.3   1.7   1   3     2e-05   4.6e-05   13.3   0.0    66   249    68   261    23   262 0.76 -
1653at4891|contig_2:489441-490874     -            478 1653at4891           -            641   5.1e-09   26.3   1.7   2   3   1.6e-07   3.7e-07   20.2   0.7   143   321   194   369   145   377 0.72 -
1653at4891|contig_2:489441-490874     -            478 1653at4891           -            641   5.1e-09   26.3   1.7   3   3      0.64       1.5   -1.7   0.0   248   287   368   409   359   432 0.61 -
28907at4891_7|contig_19:568955-569863 -            303 1653at4891           -            641   1.1e-05   15.4   0.3   1   2   5.2e-05   0.00012   11.8   0.2    44   170     8   141     3   185 0.69 -
28907at4891_7|contig_19:568955-569863 -            303 1653at4891           -            641   1.1e-05   15.4   0.3   2   2     0.078      0.18    1.4   0.0   221   251   250   282   237   289 0.59 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/1653at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/rerun_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/rerun_results/1653at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/1653at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/rerun_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:19:28 2024
# [ok]
