#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17074at4891_2|contig_20:54833-56221     -            463 17074at4891          -            311  7.3e-101  334.6  13.7   1   1  4.5e-100   1.4e-98  327.1  13.4    19   311   100   463    82   463 0.85 -
2851at4891_2|contig_12:490170-492617    -            816 17074at4891          -            311   1.5e-42  143.1  12.6   6   6   1.4e-13   4.3e-12   43.1   0.4   166   242   568   644   562   654 0.94 -
3060at4891_2|contig_16:48934-51762      -            943 17074at4891          -            311   7.6e-41  137.5  34.3   1   6      0.72        23    1.3   0.0   185   213    39    65    33    68 0.81 -
3060at4891_2|contig_16:48934-51762      -            943 17074at4891          -            311   7.6e-41  137.5  34.3   2   6   3.5e-13   1.1e-11   41.7   0.4   175   247    81   153    77   168 0.92 -
3060at4891_2|contig_16:48934-51762      -            943 17074at4891          -            311   7.6e-41  137.5  34.3   3   6   6.4e-07     2e-05   21.1   2.2   172   244   162   231   153   238 0.79 -
3060at4891_2|contig_16:48934-51762      -            943 17074at4891          -            311   7.6e-41  137.5  34.3   4   6   1.4e-10   4.2e-09   33.2   0.3   132   245   390   503   387   510 0.90 -
3060at4891_2|contig_16:48934-51762      -            943 17074at4891          -            311   7.6e-41  137.5  34.3   5   6   5.8e-10   1.8e-08   31.1   0.1   174   260   532   623   529   623 0.94 -
3060at4891_2|contig_16:48934-51762      -            943 17074at4891          -            311   7.6e-41  137.5  34.3   6   6   8.3e-11   2.6e-09   33.9   0.8   131   201   613   685   604   695 0.91 -
16921at4891_8|contig_26:80163-80855     -            231 17074at4891          -            311   1.5e-37  126.7   1.4   1   3   1.4e-21   4.4e-20   69.3   0.0   177   246     2    71     1    82 0.96 -
16921at4891_8|contig_26:80163-80855     -            231 17074at4891          -            311   1.5e-37  126.7   1.4   2   3     4e-11   1.3e-09   34.9   0.1   176   246    84   162    79   168 0.74 -
16921at4891_8|contig_26:80163-80855     -            231 17074at4891          -            311   1.5e-37  126.7   1.4   3   3   1.1e-06   3.6e-05   20.3   0.0   171   218   183   230   177   231 0.95 -
17077at4891_7|contig_20:675144-676478   -            445 17074at4891          -            311   3.5e-37  125.5   5.2   1   3   2.4e-11   7.4e-10   35.7   0.3   170   247   130   208   119   210 0.94 -
17077at4891_7|contig_20:675144-676478   -            445 17074at4891          -            311   3.5e-37  125.5   5.2   2   3     1e-23   3.3e-22   76.3   0.1   130   244   173   289   170   292 0.95 -
17077at4891_7|contig_20:675144-676478   -            445 17074at4891          -            311   3.5e-37  125.5   5.2   3   3   1.2e-09   3.7e-08   30.1   0.1   124   243   293   421   289   429 0.76 -
665at4891_4|contig_14:188455-192051     -           1199 17074at4891          -            311   1.9e-35  119.8  13.1   1   4   1.1e-17   3.4e-16   56.5   0.1   128   245     6   125     2   130 0.92 -
665at4891_4|contig_14:188455-192051     -           1199 17074at4891          -            311   1.9e-35  119.8  13.1   2   4   1.2e-12   3.7e-11   40.0   0.3   137   202    99   166    97   171 0.91 -
665at4891_4|contig_14:188455-192051     -           1199 17074at4891          -            311   1.9e-35  119.8  13.1   3   4   1.7e-13   5.3e-12   42.7   0.3   109   244   183   323   175   340 0.80 -
665at4891_4|contig_14:188455-192051     -           1199 17074at4891          -            311   1.9e-35  119.8  13.1   4   4      0.47        15    1.9   0.2   197   287   476   560   456   576 0.65 -
16921at4891_6|contig_6:255886-256704    -            273 17074at4891          -            311     3e-33  112.6   9.8   1   3   2.1e-09   6.5e-08   29.3   0.3   190   243     1    52     1    55 0.94 -
16921at4891_6|contig_6:255886-256704    -            273 17074at4891          -            311     3e-33  112.6   9.8   2   3   2.5e-14   7.8e-13   45.5   0.6   124   218    57   150    53   161 0.88 -
16921at4891_6|contig_6:255886-256704    -            273 17074at4891          -            311     3e-33  112.6   9.8   3   3   1.5e-13   4.8e-12   42.9   0.2   188   248   209   267   200   272 0.89 -
16921at4891_7|contig_4:236757-237653    -            299 17074at4891          -            311   7.8e-33  111.2   3.8   1   4   3.2e-05     0.001   15.5   0.0   179   244     4    69     2    75 0.76 -
16921at4891_7|contig_4:236757-237653    -            299 17074at4891          -            311   7.8e-33  111.2   3.8   2   4   2.1e-18   6.7e-17   58.8   0.2   128   244    35   153    18   161 0.91 -
16921at4891_7|contig_4:236757-237653    -            299 17074at4891          -            311   7.8e-33  111.2   3.8   3   4   5.7e-16   1.8e-14   50.8   0.3   126   243    74   202    72   210 0.83 -
16921at4891_7|contig_4:236757-237653    -            299 17074at4891          -            311   7.8e-33  111.2   3.8   4   4         2        64   -0.2   0.0   172   200   271   297   238   298 0.62 -
29122at4891_2|contig_3:738061-739326    -            422 17074at4891          -            311   3.4e-32  109.1  12.0   1   3   9.3e-14   2.9e-12   43.6   1.0   128   246    87   211    12   225 0.82 -
29122at4891_2|contig_3:738061-739326    -            422 17074at4891          -            311   3.4e-32  109.1  12.0   2   3   6.6e-16   2.1e-14   50.7   0.2   124   247   172   302   169   307 0.86 -
29122at4891_2|contig_3:738061-739326    -            422 17074at4891          -            311   3.4e-32  109.1  12.0   3   3   1.1e-11   3.3e-10   36.8   0.4   174   242   350   418   348   419 0.97 -
17077at4891_2|contig_17:290336-291190   -            285 17074at4891          -            311   1.6e-29  100.3  10.0   1   3   4.5e-13   1.4e-11   41.3   0.3   171   247     3    80     1    88 0.90 -
17077at4891_2|contig_17:290336-291190   -            285 17074at4891          -            311   1.6e-29  100.3  10.0   2   3   1.7e-15   5.4e-14   49.3   1.1   170   246   110   184   106   189 0.95 -
17077at4891_2|contig_17:290336-291190   -            285 17074at4891          -            311   1.6e-29  100.3  10.0   3   3   8.8e-05    0.0028   14.1   0.1   144   205   224   285   208   285 0.82 -
17074at4891_3|contig_25:163898-164776   -            293 17074at4891          -            311   1.1e-28   97.5   0.1   1   3   4.8e-06   0.00015   18.3   0.0   204   245     3    45     1    57 0.85 -
17074at4891_3|contig_25:163898-164776   -            293 17074at4891          -            311   1.1e-28   97.5   0.1   2   3   6.7e-05    0.0021   14.5   0.0   169   212    72   113    65   124 0.85 -
17074at4891_3|contig_25:163898-164776   -            293 17074at4891          -            311   1.1e-28   97.5   0.1   3   3   4.7e-19   1.5e-17   61.0   0.0   180   277   146   248   140   266 0.84 -
8998at4891_7|contig_19:41018-42367      -            450 17074at4891          -            311   7.9e-27   91.4   5.5   1   3   2.1e-11   6.7e-10   35.8   2.0   134   244    79   191    67   196 0.85 -
8998at4891_7|contig_19:41018-42367      -            450 17074at4891          -            311   7.9e-27   91.4   5.5   2   3   2.3e-13   7.2e-12   42.3   0.1   170   248   201   280   194   293 0.92 -
8998at4891_7|contig_19:41018-42367      -            450 17074at4891          -            311   7.9e-27   91.4   5.5   3   3   0.00018    0.0056   13.1   0.0   139   200   295   362   284   365 0.66 -
17077at4891_6|contig_27:153722-154366   -            215 17074at4891          -            311   3.7e-25   85.9   5.0   1   2   1.1e-17   3.5e-16   56.5   0.4   144   246    15   120     1   129 0.85 -
17077at4891_6|contig_27:153722-154366   -            215 17074at4891          -            311   3.7e-25   85.9   5.0   2   2   3.7e-10   1.2e-08   31.8   0.5   170   236   151   215   147   215 0.94 -
20201at4891_2|contig_14:976480-977445   -            322 17074at4891          -            311   1.4e-23   80.8  18.7   1   3   2.6e-12   8.3e-11   38.8   2.3   141   243    17   132     2   136 0.76 -
20201at4891_2|contig_14:976480-977445   -            322 17074at4891          -            311   1.4e-23   80.8  18.7   2   3   2.2e-14   7.1e-13   45.6   5.1   120   242   137   273   134   276 0.80 -
20201at4891_2|contig_14:976480-977445   -            322 17074at4891          -            311   1.4e-23   80.8  18.7   3   3     0.011      0.33    7.3   0.3   172   242   246   321   246   322 0.50 -
17147at4891_9|contig_14:1176799-1178028 -            410 17074at4891          -            311   1.8e-23   80.4   0.0   1   3   8.4e-13   2.6e-11   40.5   0.0   166   244   110   190   100   199 0.87 -
17147at4891_9|contig_14:1176799-1178028 -            410 17074at4891          -            311   1.8e-23   80.4   0.0   2   3   6.2e-05     0.002   14.6   0.0   122   162   237   277   228   285 0.66 -
17147at4891_9|contig_14:1176799-1178028 -            410 17074at4891          -            311   1.8e-23   80.4   0.0   3   3   4.5e-07   1.4e-05   21.6   0.0   138   243   296   410   280   410 0.80 -
16921at4891_3|contig_7:193212-193847    -            212 17074at4891          -            311   6.9e-23   78.5   0.6   1   2   1.2e-06   3.8e-05   20.2   0.0   172   212     1    39     1    51 0.86 -
16921at4891_3|contig_7:193212-193847    -            212 17074at4891          -            311   6.9e-23   78.5   0.6   2   2   1.1e-17   3.5e-16   56.5   0.1   182   249    73   138    47   154 0.86 -
4490at4891_2|contig_13:927939-930293    -            785 17074at4891          -            311   1.8e-22   77.1   9.9   1   5   2.1e-08   6.5e-07   26.0   0.1   142   242    24   129     6   139 0.75 -
4490at4891_2|contig_13:927939-930293    -            785 17074at4891          -            311   1.8e-22   77.1   9.9   2   5   0.00065      0.02   11.3   0.0   168   213   197   246   189   265 0.75 -
4490at4891_2|contig_13:927939-930293    -            785 17074at4891          -            311   1.8e-22   77.1   9.9   3   5    0.0055      0.17    8.2   0.1   202   243   267   309   260   313 0.89 -
4490at4891_2|contig_13:927939-930293    -            785 17074at4891          -            311   1.8e-22   77.1   9.9   4   5     0.003     0.094    9.1   0.1   129   160   381   412   353   432 0.83 -
4490at4891_2|contig_13:927939-930293    -            785 17074at4891          -            311   1.8e-22   77.1   9.9   5   5   2.4e-07   7.5e-06   22.5   0.0   131   245   556   685   549   715 0.77 -
17785at4891_2|contig_3:827964-829340    -            459 17074at4891          -            311   4.2e-22   75.9   9.3   1   3   3.7e-08   1.2e-06   25.2   0.3   136   202   106   172    98   186 0.73 -
17785at4891_2|contig_3:827964-829340    -            459 17074at4891          -            311   4.2e-22   75.9   9.3   2   3   0.00086     0.027   10.9   0.0   204   243   197   235   192   245 0.87 -
17785at4891_2|contig_3:827964-829340    -            459 17074at4891          -            311   4.2e-22   75.9   9.3   3   3   2.2e-13     7e-12   42.3   1.2   126   250   280   411   273   458 0.81 -
17074at4891_6|contig_13:512010-512720   -            237 17074at4891          -            311   2.2e-21   73.6   8.2   1   3   2.8e-07   8.7e-06   22.3   0.4   182   246     6    68     1    76 0.91 -
17074at4891_6|contig_13:512010-512720   -            237 17074at4891          -            311   2.2e-21   73.6   8.2   2   3   4.5e-11   1.4e-09   34.8   0.2   170   249    77   159    72   165 0.89 -
17074at4891_6|contig_13:512010-512720   -            237 17074at4891          -            311   2.2e-21   73.6   8.2   3   3   8.5e-07   2.7e-05   20.7   0.2   181   242   175   237   164   237 0.87 -
15470at4891_1|contig_2:377940-378977    -            346 17074at4891          -            311   5.2e-21   72.3   1.1   1   3   2.9e-15     9e-14   48.6   0.0   170   246     7    83     2   108 0.95 -
15470at4891_1|contig_2:377940-378977    -            346 17074at4891          -            311   5.2e-21   72.3   1.1   2   3    0.0032       0.1    9.0   0.2   121   164   184   227   173   237 0.85 -
15470at4891_1|contig_2:377940-378977    -            346 17074at4891          -            311   5.2e-21   72.3   1.1   3   3    0.0034      0.11    8.9   0.0   207   246   285   324   281   334 0.87 -
10099at4891_2|contig_4:594881-597400    -            840 17074at4891          -            311   8.5e-21   71.6   2.0   1   4   3.6e-05    0.0011   15.4   0.0   217   245    19    47    11    62 0.68 -
10099at4891_2|contig_4:594881-597400    -            840 17074at4891          -            311   8.5e-21   71.6   2.0   2   4   4.6e-05    0.0015   15.0   0.0   209   244    73   108    67   116 0.61 -
10099at4891_2|contig_4:594881-597400    -            840 17074at4891          -            311   8.5e-21   71.6   2.0   3   4   1.9e-07   5.9e-06   22.9   0.2   166   243   133   207   120   214 0.91 -
10099at4891_2|contig_4:594881-597400    -            840 17074at4891          -            311   8.5e-21   71.6   2.0   4   4   0.00013    0.0041   13.5   0.0   181   244   322   385   303   392 0.79 -
6943at4891_4|contig_16:316645-318099    -            485 17074at4891          -            311   3.4e-20   69.7  11.6   1   3     0.047       1.5    5.2   0.1   144   163   132   151   117   166 0.77 -
6943at4891_4|contig_16:316645-318099    -            485 17074at4891          -            311   3.4e-20   69.7  11.6   2   3   1.8e-07   5.8e-06   22.9   0.1   179   258   185   262   177   269 0.86 -
6943at4891_4|contig_16:316645-318099    -            485 17074at4891          -            311   3.4e-20   69.7  11.6   3   3   5.6e-11   1.8e-09   34.5   1.6   189   287   278   388   272   400 0.79 -
10660at4891_2|contig_12:85099-87051     -            651 17074at4891          -            311   7.9e-20   68.5   0.4   1   2   1.6e-05   0.00049   16.6   0.0   208   253    74   120    67   124 0.85 -
10660at4891_2|contig_12:85099-87051     -            651 17074at4891          -            311   7.9e-20   68.5   0.4   2   2   1.5e-15   4.8e-14   49.4   0.1   126   243   133   257   129   261 0.89 -
13320at4891_1|contig_17:374252-375346   -            365 17074at4891          -            311   2.4e-19   66.9   0.1   1   2   1.4e-17   4.3e-16   56.2   0.1   126   248    29   158    14   205 0.85 -
13320at4891_1|contig_17:374252-375346   -            365 17074at4891          -            311   2.4e-19   66.9   0.1   2   2    0.0041      0.13    8.6   0.0   136   189   272   327   263   333 0.78 -
8291at4891_7|contig_25:639374-641518    -            715 17074at4891          -            311   6.5e-19   65.4   9.7   1   3      0.24       7.7    2.8   0.0   172   275    12    40     3    77 0.54 -
8291at4891_7|contig_25:639374-641518    -            715 17074at4891          -            311   6.5e-19   65.4   9.7   2   3   3.4e-10   1.1e-08   31.9   1.9   166   259    92   182    87   188 0.85 -
8291at4891_7|contig_25:639374-641518    -            715 17074at4891          -            311   6.5e-19   65.4   9.7   3   3   5.2e-12   1.6e-10   37.9   0.7   122   252   167   297   166   316 0.86 -
16921at4891_4|contig_2:441697-442182    -            162 17074at4891          -            311   1.2e-18   64.5   3.1   1   1   6.8e-20   2.1e-18   63.7   3.1   129   260    14   157     3   160 0.81 -
28907at4891_2|contig_20:859065-860021   -            319 17074at4891          -            311   1.3e-18   64.4   0.1   1   2   8.6e-13   2.7e-11   40.4   0.1   183   256    51   124    41   140 0.88 -
28907at4891_2|contig_20:859065-860021   -            319 17074at4891          -            311   1.3e-18   64.4   0.1   2   2   3.7e-07   1.2e-05   21.9   0.0   187   249   161   226   152   234 0.80 -
16305at4891_3|contig_4:370794-372398    -            535 17074at4891          -            311   7.2e-18   62.0   7.5   1   3   2.8e-07   8.7e-06   22.3   0.4   173   245   220   291   210   302 0.89 -
16305at4891_3|contig_4:370794-372398    -            535 17074at4891          -            311   7.2e-18   62.0   7.5   2   3   7.5e-12   2.4e-10   37.3   0.8   171   258   357   443   349   446 0.93 -
16305at4891_3|contig_4:370794-372398    -            535 17074at4891          -            311   7.2e-18   62.0   7.5   3   3     0.043       1.3    5.3   0.0   217   246   444   473   441   481 0.91 -
18416at4891_5|contig_14:714201-715316   -            372 17074at4891          -            311   2.5e-17   60.2   2.0   1   5       2.1        65   -0.2   0.0   218   243    63    89    46    96 0.73 -
18416at4891_5|contig_14:714201-715316   -            372 17074at4891          -            311   2.5e-17   60.2   2.0   2   5   1.1e-05   0.00035   17.0   0.0   193   246    81   137    67   142 0.79 -
18416at4891_5|contig_14:714201-715316   -            372 17074at4891          -            311   2.5e-17   60.2   2.0   3   5   8.5e-08   2.7e-06   24.0   0.0   176   247   177   253   169   273 0.84 -
18416at4891_5|contig_14:714201-715316   -            372 17074at4891          -            311   2.5e-17   60.2   2.0   4   5    0.0017     0.052    9.9   0.1   128   160   278   311   270   320 0.83 -
18416at4891_5|contig_14:714201-715316   -            372 17074at4891          -            311   2.5e-17   60.2   2.0   5   5     0.052       1.7    5.0   0.1   207   242   334   371   330   372 0.84 -
17077at4891_3|contig_13:310121-310963   -            281 17074at4891          -            311   1.1e-16   58.1   6.4   1   4    0.0006     0.019   11.4   0.4   196   246     3    53     1    61 0.80 -
17077at4891_3|contig_13:310121-310963   -            281 17074at4891          -            311   1.1e-16   58.1   6.4   2   4   4.4e-12   1.4e-10   38.1   1.0   186   253    76   144    65   195 0.83 -
17077at4891_3|contig_13:310121-310963   -            281 17074at4891          -            311   1.1e-16   58.1   6.4   3   4      0.97        30    0.8   0.1   172   211   147   189   142   218 0.54 -
17077at4891_3|contig_13:310121-310963   -            281 17074at4891          -            311   1.1e-16   58.1   6.4   4   4    0.0035      0.11    8.9   0.0   210   244   241   275   210   280 0.74 -
4263at4891_2|contig_20:740125-743160    -           1012 17074at4891          -            311   1.8e-16   57.5   6.6   1   5       3.5   1.1e+02   -1.0   0.0   192   243    23    76    11   130 0.71 -
4263at4891_2|contig_20:740125-743160    -           1012 17074at4891          -            311   1.8e-16   57.5   6.6   2   5   4.8e-11   1.5e-09   34.7   0.1   183   245   147   209   138   212 0.90 -
4263at4891_2|contig_20:740125-743160    -           1012 17074at4891          -            311   1.8e-16   57.5   6.6   3   5   7.5e-11   2.4e-09   34.0   2.3   146   245   192   301   192   308 0.83 -
4263at4891_2|contig_20:740125-743160    -           1012 17074at4891          -            311   1.8e-16   57.5   6.6   4   5       1.5        47    0.2   0.0   183   246   675   741   666   770 0.76 -
4263at4891_2|contig_20:740125-743160    -           1012 17074at4891          -            311   1.8e-16   57.5   6.6   5   5       1.7        53    0.0   0.0   225   244   946   965   931   976 0.70 -
1495at4891_2|contig_14:101101-104910    -           1270 17074at4891          -            311     5e-16   56.0   1.1   1   4       3.8   1.2e+02   -1.1   0.0   189   242    34    89    17   102 0.74 -
1495at4891_2|contig_14:101101-104910    -           1270 17074at4891          -            311     5e-16   56.0   1.1   2   4    0.0017     0.055    9.9   0.0   208   246   101   140    96   147 0.64 -
1495at4891_2|contig_14:101101-104910    -           1270 17074at4891          -            311     5e-16   56.0   1.1   3   4   8.7e-08   2.7e-06   24.0   0.1   175   246   162   244   157   248 0.77 -
1495at4891_2|contig_14:101101-104910    -           1270 17074at4891          -            311     5e-16   56.0   1.1   4   4   7.7e-06   0.00024   17.6   0.0   168   245   252   331   245   338 0.88 -
2568at4891_2|contig_14:683282-686707    -           1142 17074at4891          -            311   2.3e-15   53.8   4.8   1   2   2.5e-15   7.9e-14   48.7   1.3   114   256    90   239    81   242 0.79 -
2568at4891_2|contig_14:683282-686707    -           1142 17074at4891          -            311   2.3e-15   53.8   4.8   2   2     0.052       1.6    5.0   0.1   215   249   307   341   295   346 0.86 -
5986at4891_2|contig_2:487177-488715     -            513 17074at4891          -            311   2.3e-15   53.8   0.0   1   2     0.001     0.031   10.6   0.0   176   243    42   109    25   115 0.79 -
5986at4891_2|contig_2:487177-488715     -            513 17074at4891          -            311   2.3e-15   53.8   0.0   2   2     4e-12   1.3e-10   38.2   0.0   135   281   126   292   114   316 0.71 -
2368at4891_2|contig_12:134999-137800    -            934 17074at4891          -            311   2.3e-14   50.5   5.6   1   3     0.012      0.39    7.1   0.0   188   248   216   279   201   318 0.74 -
2368at4891_2|contig_12:134999-137800    -            934 17074at4891          -            311   2.3e-14   50.5   5.6   2   3   0.00067     0.021   11.2   0.1   191   282   429   532   413   540 0.71 -
2368at4891_2|contig_12:134999-137800    -            934 17074at4891          -            311   2.3e-14   50.5   5.6   3   3   2.2e-10   6.9e-09   32.5   0.2   136   247   541   654   536   664 0.76 -
6943at4891_1|contig_4:208656-209474     -            273 17074at4891          -            311   3.8e-14   49.8   7.2   1   2    0.0033      0.11    8.9   0.0   218   262    59   102    49   109 0.75 -
6943at4891_1|contig_4:208656-209474     -            273 17074at4891          -            311   3.8e-14   49.8   7.2   2   2     3e-12   9.6e-11   38.6   3.2   134   254   108   239   100   269 0.67 -
7896at4891_2|contig_2:489252-491096     -            615 17074at4891          -            311   6.2e-14   49.1   7.2   1   5       4.9   1.5e+02   -1.5   0.0   170   201    60    94    54   114 0.65 -
7896at4891_2|contig_2:489252-491096     -            615 17074at4891          -            311   6.2e-14   49.1   7.2   2   5      0.59        19    1.5   0.0   192   239   137   185   116   189 0.66 -
7896at4891_2|contig_2:489252-491096     -            615 17074at4891          -            311   6.2e-14   49.1   7.2   3   5   6.1e-07   1.9e-05   21.2   0.0   176   246   209   283   200   294 0.83 -
7896at4891_2|contig_2:489252-491096     -            615 17074at4891          -            311   6.2e-14   49.1   7.2   4   5   0.00062     0.019   11.3   0.3   230   295   312   378   302   398 0.61 -
7896at4891_2|contig_2:489252-491096     -            615 17074at4891          -            311   6.2e-14   49.1   7.2   5   5   8.4e-05    0.0026   14.2   0.1   184   244   552   612   494   614 0.85 -
11568at4891_2|contig_25:274915-276138   -            408 17074at4891          -            311     7e-14   48.9   4.1   1   2   1.2e-08   3.9e-07   26.8   2.9   172   311    45   170    37   170 0.75 -
11568at4891_2|contig_25:274915-276138   -            408 17074at4891          -            311     7e-14   48.9   4.1   2   2    0.0023     0.071    9.5   0.0   210   245   289   326   285   335 0.68 -
17712at4891_2|contig_2:849820-851199    -            460 17074at4891          -            311   2.3e-13   47.2   2.5   1   4   0.00027    0.0084   12.5   0.0   215   246    13    46     4    61 0.83 -
17712at4891_2|contig_2:849820-851199    -            460 17074at4891          -            311   2.3e-13   47.2   2.5   2   4    0.0032       0.1    9.0   0.0   172   200    70    98    59   104 0.67 -
17712at4891_2|contig_2:849820-851199    -            460 17074at4891          -            311   2.3e-13   47.2   2.5   3   4   1.8e-09   5.6e-08   29.5   0.7   115   244    84   216    69   229 0.91 -
17712at4891_2|contig_2:849820-851199    -            460 17074at4891          -            311   2.3e-13   47.2   2.5   4   4      0.77        24    1.2   0.0   212   238   370   396   344   404 0.81 -
11696at4891_2|contig_2:401773-403305    -            511 17074at4891          -            311   6.6e-13   45.7   2.5   1   2   2.8e-10   8.8e-09   32.2   0.6   183   258   332   410   319   413 0.83 -
11696at4891_2|contig_2:401773-403305    -            511 17074at4891          -            311   6.6e-13   45.7   2.5   2   2   0.00034     0.011   12.2   0.0   127   165   411   450   408   472 0.70 -
14374at4891_2|contig_13:332709-333749   -            347 17074at4891          -            311   2.9e-12   43.6   7.1   1   4   2.1e-05   0.00067   16.1   2.7   213   275     7    85     4    87 0.46 -
14374at4891_2|contig_13:332709-333749   -            347 17074at4891          -            311   2.9e-12   43.6   7.1   2   4      0.26       8.3    2.7   0.0   206   243    99   138    94   158 0.87 -
14374at4891_2|contig_13:332709-333749   -            347 17074at4891          -            311   2.9e-12   43.6   7.1   3   4     0.032         1    5.7   0.0   209   248   206   249   200   273 0.82 -
