#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
5791at4891_2|contig_20:444954-447116  -            721 5791at4891           -            462  9.1e-198  654.8   0.1   1   1  1.2e-199  2.5e-197  653.4   0.1    17   461   201   699   198   700 0.88 -
11161at4891_6|contig_25:117331-118431 -            367 5791at4891           -            462   5.5e-05   19.2   0.2   1   1   5.1e-07   0.00011   18.3   0.1   205   324   242   354   215   363 0.79 -
11161at4891_6|contig_7:145399-146499  -            367 5791at4891           -            462   5.5e-05   19.2   0.2   1   1   5.1e-07   0.00011   18.3   0.1   205   324   242   354   215   363 0.79 -
2020at4891_0|contig_17:527390-528976  -            529 5791at4891           -            462   7.5e-05   18.8   0.0   1   2     0.022       4.4    3.0   0.1    61   140    58   148    18   154 0.66 -
2020at4891_0|contig_17:527390-528976  -            529 5791at4891           -            462   7.5e-05   18.8   0.0   2   2   2.8e-05    0.0058   12.5   0.0   235   301   310   380   291   414 0.83 -
10350at4891_2|contig_13:379768-381336 -            523 5791at4891           -            462   0.00021   17.3   0.3   1   4      0.36        74   -1.0   0.0    38    79   152   202   147   220 0.65 -
10350at4891_2|contig_13:379768-381336 -            523 5791at4891           -            462   0.00021   17.3   0.3   2   4      0.36        75   -1.0   0.0   213   239   198   224   178   234 0.77 -
10350at4891_2|contig_13:379768-381336 -            523 5791at4891           -            462   0.00021   17.3   0.3   3   4       1.3   2.7e+02   -2.9   0.0   332   397   266   337   251   353 0.55 -
10350at4891_2|contig_13:379768-381336 -            523 5791at4891           -            462   0.00021   17.3   0.3   4   4   8.5e-06    0.0018   14.3   0.0   223   309   381   464   357   515 0.73 -
8758at4891_1|contig_14:299132-300469  -            446 5791at4891           -            462   0.00078   15.4   0.2   1   2       2.8   5.7e+02   -3.9   0.0   225   239   159   173   155   190 0.76 -
8758at4891_1|contig_14:299132-300469  -            446 5791at4891           -            462   0.00078   15.4   0.2   2   2   6.9e-06    0.0014   14.6   0.1   218   319   323   418   283   434 0.80 -
5557at4891_3|contig_6:111463-112926   -            488 5791at4891           -            462   0.00084   15.3   0.0   1   1   8.2e-06    0.0017   14.3   0.0   205   283   352   435   329   455 0.83 -
18663at4891_2|contig_22:334216-335676 -            487 5791at4891           -            462    0.0023   13.9   0.4   1   3      0.02         4    3.2   0.0    36    82   105   158    69   188 0.79 -
18663at4891_2|contig_22:334216-335676 -            487 5791at4891           -            462    0.0023   13.9   0.4   2   3       1.1   2.3e+02   -2.6   0.1   312   348   249   285   230   289 0.64 -
18663at4891_2|contig_22:334216-335676 -            487 5791at4891           -            462    0.0023   13.9   0.4   3   3   0.00052      0.11    8.4   0.0   205   307   310   413   295   461 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/5791at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/5791at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/5791at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:16:17 2024
# [ok]
