#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17077at4891_7|contig_20:675144-676478   -            445 17077at4891          -            266  1.4e-126  418.5   4.1   1   1  4.1e-126  1.4e-124  411.9   4.1     1   266   120   420   120   420 0.91 -
3606at4891_2|contig_4:201583-203973     -            797 17077at4891          -            266   9.1e-35  117.5   1.6   2   3     3e-24   1.1e-22   78.0   0.3     7   144   518   657   513   659 0.94 -
3606at4891_2|contig_4:201583-203973     -            797 17077at4891          -            266   9.1e-35  117.5   1.6   3   3     4e-13   1.4e-11   41.5   0.0     7    89   644   726   639   731 0.92 -
15960at4891_0|contig_19:620356-621267   -            304 17077at4891          -            266   3.6e-32  109.0   5.6   1   2   9.8e-20   3.4e-18   63.2   0.2    31   203     7   191     3   195 0.85 -
15960at4891_0|contig_19:620356-621267   -            304 17077at4891          -            266   3.6e-32  109.0   5.6   2   2     5e-15   1.7e-13   47.8   1.1    10   105   204   301   194   304 0.89 -
4206at4891_2|contig_26:118102-120855    -            918 17077at4891          -            266   5.4e-30  101.9   3.9   1   5      0.25       8.7    2.8   0.0   147   192    28    74    16   100 0.79 -
4206at4891_2|contig_26:118102-120855    -            918 17077at4891          -            266   5.4e-30  101.9   3.9   2   5   1.1e-05   0.00037   17.2   0.1     6    88   138   222   133   226 0.86 -
4206at4891_2|contig_26:118102-120855    -            918 17077at4891          -            266   5.4e-30  101.9   3.9   3   5   4.9e-15   1.7e-13   47.8   0.0     9   172   255   427   245   433 0.80 -
4206at4891_2|contig_26:118102-120855    -            918 17077at4891          -            266   5.4e-30  101.9   3.9   4   5   2.2e-09   7.7e-08   29.2   0.0    17    86   433   502   428   560 0.85 -
4206at4891_2|contig_26:118102-120855    -            918 17077at4891          -            266   5.4e-30  101.9   3.9   5   5       4.7   1.6e+02   -1.3   0.0   188   221   593   627   577   645 0.78 -
16921at4891_8|contig_26:80163-80855     -            231 17077at4891          -            266   2.7e-27   93.0   0.8   1   3   1.8e-14   6.2e-13   45.9   0.0    61   168     2    76     1    82 0.46 -
16921at4891_8|contig_26:80163-80855     -            231 17077at4891          -            266   2.7e-27   93.0   0.8   2   3   8.8e-08   3.1e-06   24.0   0.1    17    88    84   162    77   163 0.87 -
16921at4891_8|contig_26:80163-80855     -            231 17077at4891          -            266   2.7e-27   93.0   0.8   3   3   1.3e-05   0.00045   16.9   0.0    10    59   181   229   173   231 0.73 -
8998at4891_7|contig_19:41018-42367      -            450 17077at4891          -            266   2.8e-25   86.4   3.5   1   2   7.4e-23   2.6e-21   73.4   2.5     5   162   111   277   107   283 0.83 -
8998at4891_7|contig_19:41018-42367      -            450 17077at4891          -            266   2.8e-25   86.4   3.5   2   2   0.00025    0.0087   12.7   0.0   110   200   260   363   247   368 0.63 -
17077at4891_2|contig_17:290336-291190   -            285 17077at4891          -            266   1.3e-24   84.2   9.0   1   3   5.6e-10   1.9e-08   31.2   0.8    13    87     4    78     1    87 0.56 -
17077at4891_2|contig_17:290336-291190   -            285 17077at4891          -            266   1.3e-24   84.2   9.0   2   3   1.4e-11   4.9e-10   36.4   0.4     8    92   107   187   101   198 0.91 -
17077at4891_2|contig_17:290336-291190   -            285 17077at4891          -            266   1.3e-24   84.2   9.0   3   3   9.2e-07   3.2e-05   20.6   0.1    51   126   209   282   190   285 0.79 -
16921at4891_4|contig_2:441697-442182    -            162 17077at4891          -            266   9.8e-24   81.3   0.8   1   1   3.4e-25   1.2e-23   81.1   0.8     7   144    11   155     5   159 0.91 -
17077at4891_6|contig_27:153722-154366   -            215 17077at4891          -            266   7.5e-23   78.4   3.6   1   2   2.2e-18   7.5e-17   58.8   0.6    15   126     7   118     1   130 0.85 -
17077at4891_6|contig_27:153722-154366   -            215 17077at4891          -            266   7.5e-23   78.4   3.6   2   2   9.7e-07   3.4e-05   20.6   0.1    94   141   151   197   144   215 0.53 -
17074at4891_2|contig_20:54833-56221     -            463 17077at4891          -            266   4.8e-22   75.8   1.7   1   4   1.2e-08   4.2e-07   26.8   0.1    20   140   180   308   169   311 0.81 -
17074at4891_2|contig_20:54833-56221     -            463 17077at4891          -            266   4.8e-22   75.8   1.7   2   4   3.7e-15   1.3e-13   48.2   0.1     7   144   210   354   208   358 0.86 -
17074at4891_2|contig_20:54833-56221     -            463 17077at4891          -            266   4.8e-22   75.8   1.7   3   4   7.6e-05    0.0026   14.4   0.0   100   144   351   398   349   402 0.86 -
17074at4891_2|contig_20:54833-56221     -            463 17077at4891          -            266   4.8e-22   75.8   1.7   4   4   0.00039     0.014   12.0   0.3    13    84   391   463   383   463 0.63 -
17785at4891_2|contig_3:827964-829340    -            459 17077at4891          -            266   2.2e-21   73.7   6.4   1   3   1.2e-09   4.1e-08   30.1   0.2    60   132   106   178   104   237 0.74 -
17785at4891_2|contig_3:827964-829340    -            459 17077at4891          -            266   2.2e-21   73.7   6.4   2   3     0.037       1.3    5.5   0.0   130   160   200   235   176   273 0.63 -
17785at4891_2|contig_3:827964-829340    -            459 17077at4891          -            266   2.2e-21   73.7   6.4   3   3   1.1e-12   3.8e-11   40.1   1.3    53   188   283   432   268   444 0.75 -
8291at4891_7|contig_25:639374-641518    -            715 17077at4891          -            266   2.9e-20   70.0   8.9   1   2   9.7e-05    0.0034   14.0   0.4    48   159     4   124     2   124 0.74 -
8291at4891_7|contig_25:639374-641518    -            715 17077at4891          -            266   2.9e-20   70.0   8.9   2   2   6.6e-20   2.3e-18   63.7   5.2     9   238    94   325    87   350 0.83 -
17074at4891_3|contig_25:163898-164776   -            293 17077at4891          -            266   1.4e-19   67.7   1.9   1   4   5.8e-07     2e-05   21.3   0.0    11    46    11    46     6    54 0.88 -
17074at4891_3|contig_25:163898-164776   -            293 17077at4891          -            266   1.4e-19   67.7   1.9   2   4     0.012      0.43    7.1   0.0    13    50    75   109    62   123 0.68 -
17074at4891_3|contig_25:163898-164776   -            293 17077at4891          -            266   1.4e-19   67.7   1.9   3   4   5.5e-11   1.9e-09   34.5   0.2    74   145   156   227   151   255 0.57 -
17074at4891_3|contig_25:163898-164776   -            293 17077at4891          -            266   1.4e-19   67.7   1.9   4   4       4.9   1.7e+02   -1.4   0.0    19    42   270   293   264   293 0.76 -
16921at4891_3|contig_7:193212-193847    -            212 17077at4891          -            266     2e-18   64.0   1.2   1   2   1.2e-05   0.00041   17.0   0.0    13    54     1    39     1    58 0.82 -
16921at4891_3|contig_7:193212-193847    -            212 17077at4891          -            266     2e-18   64.0   1.2   2   2     1e-13   3.5e-12   43.5   0.3    30   125    79   172    68   212 0.51 -
17147at4891_9|contig_14:1176799-1178028 -            410 17077at4891          -            266   4.2e-18   62.9   0.0   1   2   1.1e-07   3.8e-06   23.7   0.0    80   142   100   165    95   166 0.83 -
17147at4891_9|contig_14:1176799-1178028 -            410 17077at4891          -            266   4.2e-18   62.9   0.0   2   2   4.4e-12   1.5e-10   38.1   0.1     4   147   151   302   148   378 0.71 -
1653at4891_4|contig_13:269973-272027    -            685 17077at4891          -            266   1.2e-17   61.3   0.0   1   2     2e-18   6.9e-17   58.9   0.0    19   131     2   119     1   126 0.87 -
1653at4891_4|contig_13:269973-272027    -            685 17077at4891          -            266   1.2e-17   61.3   0.0   2   2       2.5        87   -0.5   0.0   219   239   299   319   269   328 0.76 -
6943at4891_4|contig_16:316645-318099    -            485 17077at4891          -            266   2.1e-17   60.6   6.2   1   2   7.7e-11   2.7e-09   34.0   0.5    12   194    65   283    59   293 0.73 -
6943at4891_4|contig_16:316645-318099    -            485 17077at4891          -            266   2.1e-17   60.6   6.2   2   2   3.4e-10   1.2e-08   31.9   1.7    17   175   222   391   219   396 0.79 -
16921at4891_7|contig_4:236757-237653    -            299 17077at4891          -            266   8.6e-17   58.6   2.7   1   2   1.5e-13   5.2e-12   42.9   0.3    34   174    16   166     2   171 0.84 -
16921at4891_7|contig_4:236757-237653    -            299 17077at4891          -            266   8.6e-17   58.6   2.7   2   2   1.4e-07     5e-06   23.3   0.1     5    86   114   203   110   214 0.89 -
20201at4891_2|contig_14:976480-977445   -            322 17077at4891          -            266   1.1e-16   58.3  10.9   1   3       1.3        44    0.5   0.0    29    43    23    37    12    49 0.70 -
20201at4891_2|contig_14:976480-977445   -            322 17077at4891          -            266   1.1e-16   58.3  10.9   2   3   1.4e-13   4.9e-12   43.0   2.0    11   124    52   177    40   180 0.84 -
20201at4891_2|contig_14:976480-977445   -            322 17077at4891          -            266   1.1e-16   58.3  10.9   3   3     8e-06   0.00028   17.6   0.7     3    45   183   226   181   322 0.93 -
11568at4891_2|contig_25:274915-276138   -            408 17077at4891          -            266   1.1e-16   58.3   2.6   1   3   1.5e-15   5.2e-14   49.5   1.7    12   134    44   181    39   191 0.78 -
11568at4891_2|contig_25:274915-276138   -            408 17077at4891          -            266   1.1e-16   58.3   2.6   2   3       9.3   3.2e+02   -2.3   0.0   213   233   240   260   208   264 0.66 -
11568at4891_2|contig_25:274915-276138   -            408 17077at4891          -            266   1.1e-16   58.3   2.6   3   3      0.15       5.1    3.6   0.0    29   130   310   329   288   346 0.63 -
4490at4891_2|contig_13:927939-930293    -            785 17077at4891          -            266   3.7e-15   53.2   9.2   1   7     1e-06   3.5e-05   20.5   0.1    78   160    35   130    12   153 0.56 -
4490at4891_2|contig_13:927939-930293    -            785 17077at4891          -            266   3.7e-15   53.2   9.2   2   7    0.0013     0.046   10.3   0.1     5   124   193   308   189   312 0.70 -
4490at4891_2|contig_13:927939-930293    -            785 17077at4891          -            266   3.7e-15   53.2   9.2   3   7      0.31        11    2.5   0.1    16    82   341   410   331   419 0.73 -
4490at4891_2|contig_13:927939-930293    -            785 17077at4891          -            266   3.7e-15   53.2   9.2   4   7       2.2        77   -0.3   0.0    20    46   443   469   436   479 0.72 -
4490at4891_2|contig_13:927939-930293    -            785 17077at4891          -            266   3.7e-15   53.2   9.2   5   7     6e-05    0.0021   14.7   0.1     8   125   552   683   545   688 0.75 -
4490at4891_2|contig_13:927939-930293    -            785 17077at4891          -            266   3.7e-15   53.2   9.2   6   7      0.02       0.7    6.4   0.0    29    48   669   688   660   725 0.65 -
4490at4891_2|contig_13:927939-930293    -            785 17077at4891          -            266   3.7e-15   53.2   9.2   7   7       2.9     1e+02   -0.7   0.0   213   241   711   740   689   748 0.69 -
29122at4891_2|contig_3:738061-739326    -            422 17077at4891          -            266     1e-14   51.8   0.3   1   2   4.3e-12   1.5e-10   38.1   0.1    49   239    84   303    67   314 0.77 -
29122at4891_2|contig_3:738061-739326    -            422 17077at4891          -            266     1e-14   51.8   0.3   2   2   0.00097     0.034   10.7   0.0    59   124   351   418   329   420 0.72 -
2531at4891_2|contig_2:566682-569015     -            778 17077at4891          -            266   4.5e-14   49.7   0.7   1   4   2.1e-08   7.4e-07   26.0   0.0     6    48   400   441   396   449 0.89 -
2531at4891_2|contig_2:566682-569015     -            778 17077at4891          -            266   4.5e-14   49.7   0.7   2   4       6.2   2.1e+02   -1.7   0.0   188   221   535   568   529   591 0.83 -
2531at4891_2|contig_2:566682-569015     -            778 17077at4891          -            266   4.5e-14   49.7   0.7   3   4   1.1e-05   0.00038   17.1   0.1    15   125   611   722   602   745 0.82 -
2531at4891_2|contig_2:566682-569015     -            778 17077at4891          -            266   4.5e-14   49.7   0.7   4   4       0.6        21    1.6   0.0    64   124   756   776   739   778 0.58 -
2368at4891_2|contig_12:134999-137800    -            934 17077at4891          -            266   8.5e-14   48.8   5.7   1   3       6.1   2.1e+02   -1.7   0.0   180   180   249   249   175   284 0.53 -
2368at4891_2|contig_12:134999-137800    -            934 17077at4891          -            266   8.5e-14   48.8   5.7   2   3         1        35    0.8   0.1   111   131   424   445   417   452 0.81 -
2368at4891_2|contig_12:134999-137800    -            934 17077at4891          -            266   8.5e-14   48.8   5.7   3   3   3.8e-15   1.3e-13   48.1   0.1    13   168   454   616   449   650 0.86 -
15470at4891_1|contig_2:377940-378977    -            346 17077at4891          -            266   1.1e-13   48.4   1.2   1   4      0.12       4.3    3.8   0.0    53    84     6    37     2    44 0.62 -
15470at4891_1|contig_2:377940-378977    -            346 17077at4891          -            266   1.1e-13   48.4   1.2   2   4   1.5e-08   5.1e-07   26.5   0.1     9    68    47   104    39   129 0.84 -
15470at4891_1|contig_2:377940-378977    -            346 17077at4891          -            266   1.1e-13   48.4   1.2   3   4     0.008      0.28    7.7   0.2    66   131   162   230   139   242 0.76 -
15470at4891_1|contig_2:377940-378977    -            346 17077at4891          -            266   1.1e-13   48.4   1.2   4   4     0.029         1    5.9   0.0    87   124   283   320   274   330 0.80 -
2568at4891_2|contig_14:683282-686707    -           1142 17077at4891          -            266   1.2e-13   48.3   1.5   1   1   7.4e-15   2.6e-13   47.2   1.5    27   169    78   235    64   242 0.77 -
4664at4891_2|contig_4:46686-49286       -            867 17077at4891          -            266   1.3e-13   48.2   0.9   1   2   3.2e-06   0.00011   18.9   0.0    24   103    19   106     5   123 0.75 -
4664at4891_2|contig_4:46686-49286       -            867 17077at4891          -            266   1.3e-13   48.2   0.9   2   2   1.7e-08   5.9e-07   26.3   0.2    15   241   274   492   259   501 0.76 -
16921at4891_5|contig_3:821998-822693    -            232 17077at4891          -            266   5.1e-13   46.2   5.5   1   3    0.0023      0.08    9.5   0.0    98   145     2    51     1    65 0.87 -
16921at4891_5|contig_3:821998-822693    -            232 17077at4891          -            266   5.1e-13   46.2   5.5   2   3   3.3e-10   1.2e-08   31.9   2.0    30   144    68   189    58   203 0.77 -
16921at4891_5|contig_3:821998-822693    -            232 17077at4891          -            266   5.1e-13   46.2   5.5   3   3     0.092       3.2    4.3   0.1    28    43   217   232   204   232 0.73 -
10099at4891_2|contig_4:594881-597400    -            840 17077at4891          -            266     9e-13   45.4   1.4   1   5      0.08       2.8    4.4   0.0   100   128    20    48    13    57 0.78 -
10099at4891_2|contig_4:594881-597400    -            840 17077at4891          -            266     9e-13   45.4   1.4   2   5    0.0002     0.007   13.0   0.0    10    48    75   112    69   119 0.91 -
10099at4891_2|contig_4:594881-597400    -            840 17077at4891          -            266     9e-13   45.4   1.4   3   5      0.92        32    1.0   0.1     3    44   126   166   124   175 0.75 -
10099at4891_2|contig_4:594881-597400    -            840 17077at4891          -            266     9e-13   45.4   1.4   4   5   1.8e-06   6.3e-05   19.7   0.0     7    57   172   221   166   225 0.81 -
10099at4891_2|contig_4:594881-597400    -            840 17077at4891          -            266     9e-13   45.4   1.4   5   5       1.2        40    0.6   0.0   111   132   327   349   316   391 0.59 -
10660at4891_2|contig_12:85099-87051     -            651 17077at4891          -            266     9e-13   45.4   1.1   1   3    0.0015     0.053   10.1   0.0    10    45    77   112    72   120 0.88 -
10660at4891_2|contig_12:85099-87051     -            651 17077at4891          -            266     9e-13   45.4   1.1   2   3   2.3e-10     8e-09   32.5   0.1     5    87   131   214   128   261 0.85 -
10660at4891_2|contig_12:85099-87051     -            651 17077at4891          -            266     9e-13   45.4   1.1   3   3       5.6   1.9e+02   -1.6   0.0   222   239   292   309   286   323 0.78 -
13320at4891_1|contig_17:374252-375346   -            365 17077at4891          -            266   1.8e-12   44.4   0.0   1   2   9.4e-11   3.3e-09   33.7   0.1    59   201    38   193    24   219 0.80 -
13320at4891_1|contig_17:374252-375346   -            365 17077at4891          -            266   1.8e-12   44.4   0.0   2   2     0.021      0.71    6.4   0.0    99   129   271   301   266   310 0.88 -
4263at4891_2|contig_20:740125-743160    -           1012 17077at4891          -            266   2.1e-12   44.2   7.5   1   4     2e-11   6.8e-10   36.0   0.7    29   127   151   251   138   269 0.86 -
4263at4891_2|contig_20:740125-743160    -           1012 17077at4891          -            266   2.1e-12   44.2   7.5   2   4      0.25       8.7    2.8   0.0    28    88   678   741   662   753 0.75 -
4263at4891_2|contig_20:740125-743160    -           1012 17077at4891          -            266   2.1e-12   44.2   7.5   3   4      0.32        11    2.5   0.0    30    51   782   803   771   818 0.75 -
4263at4891_2|contig_20:740125-743160    -           1012 17077at4891          -            266   2.1e-12   44.2   7.5   4   4      0.25       8.8    2.8   0.1   113   166   952   970   919   995 0.66 -
17074at4891_6|contig_13:512010-512720   -            237 17077at4891          -            266   6.1e-12   42.7   1.6   1   2    0.0032      0.11    9.0   0.0    30    82    12    62     8    70 0.78 -
17074at4891_6|contig_13:512010-512720   -            237 17077at4891          -            266   6.1e-12   42.7   1.6   2   2   4.2e-09   1.5e-07   28.3   0.4     8   159    74   237    68   237 0.74 -
28907at4891_2|contig_20:859065-860021   -            319 17077at4891          -            266   1.1e-11   41.9   0.2   1   2   3.2e-07   1.1e-05   22.1   0.2    16    87    42   115    31   124 0.87 -
28907at4891_2|contig_20:859065-860021   -            319 17077at4891          -            266   1.1e-11   41.9   0.2   2   2   7.6e-06   0.00026   17.6   0.0    87   132   181   227   161   242 0.81 -
11696at4891_2|contig_2:401773-403305    -            511 17077at4891          -            266   2.7e-11   40.6   1.4   1   2   7.2e-10   2.5e-08   30.8   0.5    16   128   323   449   311   473 0.76 -
11696at4891_2|contig_2:401773-403305    -            511 17077at4891          -            266   2.7e-11   40.6   1.4   2   2   1.4e-05    0.0005   16.7   0.0    12    47   415   450   404   491 0.86 -
7896at4891_2|contig_2:489252-491096     -            615 17077at4891          -            266   3.1e-11   40.4   1.0   1   3       4.4   1.5e+02   -1.3   0.0    92   233    58    93    32   107 0.53 -
7896at4891_2|contig_2:489252-491096     -            615 17077at4891          -            266   3.1e-11   40.4   1.0   2   3   3.6e-08   1.3e-06   25.2   0.1    60   203   209   366   157   382 0.73 -
7896at4891_2|contig_2:489252-491096     -            615 17077at4891          -            266   3.1e-11   40.4   1.0   3   3   0.00081     0.028   11.0   0.0    37   161   467   612   450   615 0.54 -
20201at4891_5|contig_2:470938-471882    -            315 17077at4891          -            266   6.1e-11   39.4   3.9   1   3       0.2       6.8    3.2   0.0    31    47     2    18     1    29 0.80 -
20201at4891_5|contig_2:470938-471882    -            315 17077at4891          -            266   6.1e-11   39.4   3.9   2   3     5e-08   1.7e-06   24.8   0.1    54   132    88   167    80   183 0.80 -
20201at4891_5|contig_2:470938-471882    -            315 17077at4891          -            266   6.1e-11   39.4   3.9   3   3   0.00082     0.028   11.0   0.0    25    84   251   315   231   315 0.66 -
16921at4891_0|contig_13:510455-511225   -            257 17077at4891          -            266   2.1e-10   37.6   0.6   1   1   2.6e-10   8.9e-09   32.3   0.6    49   170    64   152    30   257 0.55 -
6691at4891_2|contig_20:138548-140266    -            573 17077at4891          -            266   6.2e-10   36.1   0.0   1   2   6.6e-07   2.3e-05   21.1   0.0     6   136   228   361   223   368 0.84 -
6691at4891_2|contig_20:138548-140266    -            573 17077at4891          -            266   6.2e-10   36.1   0.0   2   2   0.00042     0.015   11.9   0.0   133   235   397   501   377   509 0.77 -
5986at4891_2|contig_2:487177-488715     -            513 17077at4891          -            266   1.4e-09   34.9   0.1   1   2   0.00083     0.029   11.0   0.1    59   180    41   174    29   176 0.68 -
5986at4891_2|contig_2:487177-488715     -            513 17077at4891          -            266   1.4e-09   34.9   0.1   2   2   2.2e-10   7.7e-09   32.5   0.0    27   180    93   258    70   285 0.71 -
6943at4891_1|contig_4:208656-209474     -            273 17077at4891          -            266   3.1e-09   33.8   1.4   1   2    0.0016     0.054   10.1   0.1    35   130    77   186    60   203 0.58 -
6943at4891_1|contig_4:208656-209474     -            273 17077at4891          -            266   3.1e-09   33.8   1.4   2   2     8e-07   2.8e-05   20.8   0.2    19    84   201   268   191   271 0.80 -
5443at4891_2|contig_14:1088388-1090643  -            752 17077at4891          -            266   3.1e-09   33.8   4.8   1   2   0.00033     0.011   12.3   0.1    31   164    44   194    22   207 0.70 -
5443at4891_2|contig_14:1088388-1090643  -            752 17077at4891          -            266   3.1e-09   33.8   4.8   2   2   4.8e-05    0.0017   15.0   2.0    20    86   220   285   204   416 0.71 -
12680at4891_2|contig_25:268397-269374   -            326 17077at4891          -            266   3.1e-09   33.8   0.0   1   1     2e-10     7e-09   32.7   0.0    13   129    23   142    12   150 0.86 -
16305at4891_3|contig_4:370794-372398    -            535 17077at4891          -            266   4.6e-09   33.2   1.2   1   2     0.056       1.9    5.0   0.2   108   168   231   297   215   314 0.74 -
16305at4891_3|contig_4:370794-372398    -            535 17077at4891          -            266   4.6e-09   33.2   1.2   2   2     1e-08   3.6e-07   27.0   0.1    20   135   322   438   307   485 0.69 -
17077at4891_3|contig_13:310121-310963   -            281 17077at4891          -            266   1.4e-08   31.7   1.8   1   3   0.00054     0.019   11.6   0.6    36   141     1   109     1   114 0.80 -
17077at4891_3|contig_13:310121-310963   -            281 17077at4891          -            266   1.4e-08   31.7   1.8   2   3   5.6e-06   0.00019   18.1   0.1     8    85   100   179    95   199 0.85 -
17077at4891_3|contig_13:310121-310963   -            281 17077at4891          -            266   1.4e-08   31.7   1.8   3   3      0.43        15    2.1   0.0     3    43   235   274   201   279 0.77 -
16921at4891_3|contig_14:495798-496592   -            265 17077at4891          -            266   1.5e-08   31.6   0.2   1   2   4.5e-09   1.6e-07   28.2   0.1    18   130     6   128     1   147 0.73 -
16921at4891_3|contig_14:495798-496592   -            265 17077at4891          -            266   1.5e-08   31.6   0.2   2   2    0.0053      0.18    8.3   0.0    17    47    97   127    85   172 0.67 -
6711at4891_3|contig_26:300073-302241    -            723 17077at4891          -            266   2.5e-08   30.9   2.1   1   4       8.3   2.9e+02   -2.2   0.0    80   100   330   350   296   383 0.46 -
6711at4891_3|contig_26:300073-302241    -            723 17077at4891          -            266   2.5e-08   30.9   2.1   2   4       8.6     3e+02   -2.2   0.0    27    55   450   478   432   484 0.76 -
6711at4891_3|contig_26:300073-302241    -            723 17077at4891          -            266   2.5e-08   30.9   2.1   3   4   8.6e-07     3e-05   20.7   0.1    62   142   599   684   582   691 0.81 -
6711at4891_3|contig_26:300073-302241    -            723 17077at4891          -            266   2.5e-08   30.9   2.1   4   4    0.0061      0.21    8.1   0.0    18    44   695   721   690   723 0.88 -
16921at4891_3|contig_19:170554-171357   -            268 17077at4891          -            266   7.3e-08   29.3   0.2   1   2      0.96        33    0.9   0.0    10    47    91   127    62   174 0.68 -
16921at4891_3|contig_19:170554-171357   -            268 17077at4891          -            266   7.3e-08   29.3   0.2   2   2   2.2e-08   7.5e-07   26.0   0.0     7    87   181   260   175   264 0.94 -
18416at4891_5|contig_14:714201-715316   -            372 17077at4891          -            266   4.3e-07   26.8   1.8   1   4      0.04       1.4    5.4   0.1     9    42    99   132    63   133 0.71 -
18416at4891_5|contig_14:714201-715316   -            372 17077at4891          -            266   4.3e-07   26.8   1.8   2   4    0.0044      0.15    8.6   0.0     9    60    99   150    94   155 0.85 -
18416at4891_5|contig_14:714201-715316   -            372 17077at4891          -            266   4.3e-07   26.8   1.8   3   4    0.0027     0.093    9.3   0.1   111   128   235   252   184   266 0.85 -
18416at4891_5|contig_14:714201-715316   -            372 17077at4891          -            266   4.3e-07   26.8   1.8   4   4     0.048       1.7    5.2   0.1    54    86   280   314   268   328 0.71 -
24709at4891_2|contig_19:568817-569980   -            388 17077at4891          -            266   4.3e-07   26.8   0.3   1   3     0.046       1.6    5.2   0.1    27    90    25    91    12   137 0.55 -
24709at4891_2|contig_19:568817-569980   -            388 17077at4891          -            266   4.3e-07   26.8   0.3   2   3    0.0023     0.081    9.5   0.0     6    50   139   183   133   195 0.85 -
