#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
11696at4891_2|contig_2:401773-403305    -            511 11696at4891          -            390  7.8e-205  677.6   4.3   1   1  2.4e-206  1.1e-204  677.1   4.3     6   390    84   511    79   511 0.91 -
1495at4891_2|contig_14:101101-104910    -           1270 11696at4891          -            390   4.3e-14   49.6  10.8   1   3   2.1e-05   0.00096   15.6   0.9   227   331    30   139    10   145 0.74 -
1495at4891_2|contig_14:101101-104910    -           1270 11696at4891          -            390   4.3e-14   49.6  10.8   2   3     6e-13   2.8e-11   40.4   0.4   221   329   166   286   154   292 0.78 -
1495at4891_2|contig_14:101101-104910    -           1270 11696at4891          -            390   4.3e-14   49.6  10.8   3   3         8   3.7e+02   -2.8   0.1    82   108   320   346   306   358 0.58 -
17077at4891_7|contig_20:675144-676478   -            445 11696at4891          -            390   6.3e-14   49.1   1.9   1   3   1.3e-09   6.1e-08   29.4   0.4   228   330   147   247   142   250 0.87 -
17077at4891_7|contig_20:675144-676478   -            445 11696at4891          -            390   6.3e-14   49.1   1.9   2   3   6.5e-09     3e-07   27.1   0.1   274   331   233   290   230   299 0.89 -
17077at4891_7|contig_20:675144-676478   -            445 11696at4891          -            390   6.3e-14   49.1   1.9   3   3         4   1.8e+02   -1.8   0.0   262   289   347   373   312   383 0.73 -
16921at4891_8|contig_26:80163-80855     -            231 11696at4891          -            390   1.2e-12   44.9   0.3   1   3   2.2e-11     1e-09   35.2   0.0   220   330     3   111     1   127 0.90 -
16921at4891_8|contig_26:80163-80855     -            231 11696at4891          -            390   1.2e-12   44.9   0.3   2   3     0.026       1.2    5.4   0.0   299   332   130   162   123   173 0.86 -
16921at4891_8|contig_26:80163-80855     -            231 11696at4891          -            390   1.2e-12   44.9   0.3   3   3      0.51        24    1.1   0.0   295   329   180   213   176   217 0.86 -
16921at4891_9|contig_26:99454-100452    -            333 11696at4891          -            390   1.2e-12   44.9  12.6   1   3   4.9e-05    0.0022   14.4   0.7   227   289    66   125    35   130 0.75 -
16921at4891_9|contig_26:99454-100452    -            333 11696at4891          -            390   1.2e-12   44.9  12.6   2   3   0.00028     0.013   11.9   0.0   273   329   191   248   145   250 0.85 -
16921at4891_9|contig_26:99454-100452    -            333 11696at4891          -            390   1.2e-12   44.9  12.6   3   3   1.7e-05   0.00077   15.9   0.8   217   286   264   331   252   333 0.87 -
3060at4891_2|contig_16:48934-51762      -            943 11696at4891          -            390   1.8e-12   44.3  16.2   1   4   1.8e-07   8.2e-06   22.4   0.1   273   333    92   153    85   165 0.84 -
3060at4891_2|contig_16:48934-51762      -            943 11696at4891          -            390   1.8e-12   44.3  16.2   2   4   0.00033     0.015   11.6   0.3   267   336   170   237   159   244 0.78 -
3060at4891_2|contig_16:48934-51762      -            943 11696at4891          -            390   1.8e-12   44.3  16.2   3   4    0.0048      0.22    7.8   0.3   217   333   393   505   380   508 0.68 -
3060at4891_2|contig_16:48934-51762      -            943 11696at4891          -            390   1.8e-12   44.3  16.2   4   4     0.014      0.66    6.2   1.8   217   287   617   685   524   692 0.63 -
16921at4891_3|contig_7:193212-193847    -            212 11696at4891          -            390   1.9e-12   44.2   1.8   1   2   2.6e-08   1.2e-06   25.1   0.1   229   330    14   133     2   136 0.64 -
16921at4891_3|contig_7:193212-193847    -            212 11696at4891          -            390   1.9e-12   44.2   1.8   2   2   2.1e-08   9.5e-07   25.5   0.1   228   329    77   172    42   189 0.68 -
665at4891_4|contig_14:188455-192051     -           1199 11696at4891          -            390     7e-12   42.4   1.6   1   2   9.7e-09   4.4e-07   26.6   0.2   219   331    57   167    11   171 0.89 -
665at4891_4|contig_14:188455-192051     -           1199 11696at4891          -            390     7e-12   42.4   1.6   2   2   7.7e-05    0.0035   13.7   0.1   262   331   212   283   203   305 0.78 -
2851at4891_2|contig_12:490170-492617    -            816 11696at4891          -            390   1.7e-11   41.1   7.8   1   4   8.8e-06    0.0004   16.8   0.0   164   332    45   227     4   242 0.70 -
2851at4891_2|contig_12:490170-492617    -            816 11696at4891          -            390   1.7e-11   41.1   7.8   2   4       2.5   1.2e+02   -1.2   0.0   311   329   398   416   379   423 0.71 -
2851at4891_2|contig_12:490170-492617    -            816 11696at4891          -            390   1.7e-11   41.1   7.8   3   4   1.3e-07     6e-06   22.8   0.7   200   331   476   605   471   606 0.86 -
2851at4891_2|contig_12:490170-492617    -            816 11696at4891          -            390   1.7e-11   41.1   7.8   4   4   1.1e-05   0.00051   16.5   0.8   220   347   538   663   529   675 0.81 -
3606at4891_2|contig_4:201583-203973     -            797 11696at4891          -            390   2.3e-11   40.7   5.0   1   4   1.6e-06   7.5e-05   19.2   0.8   220   329   471   595   458   599 0.75 -
3606at4891_2|contig_4:201583-203973     -            797 11696at4891          -            390   2.3e-11   40.7   5.0   2   4   1.1e-06   4.9e-05   19.8   0.4   222   332   532   640   524   645 0.87 -
3606at4891_2|contig_4:201583-203973     -            797 11696at4891          -            390   2.3e-11   40.7   5.0   3   4    0.0019     0.088    9.1   0.1   260   331   610   681   598   688 0.87 -
3606at4891_2|contig_4:201583-203973     -            797 11696at4891          -            390   2.3e-11   40.7   5.0   4   4   0.00041     0.019   11.3   0.0   217   252   696   731   683   734 0.88 -
28907at4891_2|contig_20:859065-860021   -            319 11696at4891          -            390   5.8e-11   39.3   2.3   1   3    0.0044       0.2    7.9   1.4   302   331    42    71    39    79 0.94 -
28907at4891_2|contig_20:859065-860021   -            319 11696at4891          -            390   5.8e-11   39.3   2.3   2   3   7.3e-05    0.0034   13.8   0.0   218   253    87   123    73   135 0.76 -
28907at4891_2|contig_20:859065-860021   -            319 11696at4891          -            390   5.8e-11   39.3   2.3   3   3     4e-05    0.0018   14.7   0.0   229   290   161   223   155   239 0.79 -
13320at4891_1|contig_17:374252-375346   -            365 11696at4891          -            390     8e-11   38.9   0.2   1   2   1.8e-10   8.5e-09   32.2   0.1   216   330    37   154    24   159 0.87 -
13320at4891_1|contig_17:374252-375346   -            365 11696at4891          -            390     8e-11   38.9   0.2   2   2     0.047       2.2    4.5   0.0   216   248   270   302   263   338 0.67 -
16305at4891_3|contig_4:370794-372398    -            535 11696at4891          -            390   2.4e-10   37.3   6.0   1   4    0.0087       0.4    7.0   0.0   301   338   158   194   143   203 0.85 -
16305at4891_3|contig_4:370794-372398    -            535 11696at4891          -            390   2.4e-10   37.3   6.0   2   4   5.2e-06   0.00024   17.6   0.4   250   330   209   290   196   298 0.84 -
16305at4891_3|contig_4:370794-372398    -            535 11696at4891          -            390   2.4e-10   37.3   6.0   3   4     8e-05    0.0037   13.7   0.1   230   331   332   430   320   433 0.78 -
16305at4891_3|contig_4:370794-372398    -            535 11696at4891          -            390   2.4e-10   37.3   6.0   4   4       5.9   2.7e+02   -2.4   0.0   228   247   455   474   449   481 0.59 -
16921at4891_3|contig_14:495798-496592   -            265 11696at4891          -            390   4.4e-10   36.5   0.1   1   3   1.6e-09   7.5e-08   29.1   0.0   215   332     2   126     1   144 0.78 -
16921at4891_3|contig_14:495798-496592   -            265 11696at4891          -            390   4.4e-10   36.5   0.1   2   3     0.042       1.9    4.7   0.0   217   243   168   194   148   230 0.75 -
16921at4891_3|contig_14:495798-496592   -            265 11696at4891          -            390   4.4e-10   36.5   0.1   3   3       7.3   3.3e+02   -2.7   0.0   139   157   238   256   224   261 0.75 -
18416at4891_5|contig_14:714201-715316   -            372 11696at4891          -            390   5.6e-10   36.1   1.4   1   3   2.3e-05     0.001   15.5   0.1   194   290    42   137    29   161 0.77 -
18416at4891_5|contig_14:714201-715316   -            372 11696at4891          -            390   5.6e-10   36.1   1.4   2   3   0.00035     0.016   11.6   0.0   228   255   234   261   163   267 0.87 -
18416at4891_5|contig_14:714201-715316   -            372 11696at4891          -            390   5.6e-10   36.1   1.4   3   3     0.017      0.76    6.0   0.0   299   381   282   366   272   372 0.67 -
17074at4891_3|contig_25:163898-164776   -            293 11696at4891          -            390   1.2e-09   35.0   0.2   1   3     0.064       2.9    4.1   0.0   299   332    13    46     5    67 0.82 -
17074at4891_3|contig_25:163898-164776   -            293 11696at4891          -            390   1.2e-09   35.0   0.2   2   3     0.015       0.7    6.2   0.0   293   331    69   104    63   112 0.84 -
17074at4891_3|contig_25:163898-164776   -            293 11696at4891          -            390   1.2e-09   35.0   0.2   3   3   3.9e-07   1.8e-05   21.3   0.0   274   332   153   210   139   251 0.75 -
15470at4891_1|contig_2:377940-378977    -            346 11696at4891          -            390   1.3e-09   34.8   0.6   1   3    0.0091      0.42    6.9   0.0   255   331     6    82     1    86 0.84 -
15470at4891_1|contig_2:377940-378977    -            346 11696at4891          -            390   1.3e-09   34.8   0.6   2   3   3.2e-07   1.5e-05   21.6   0.1   125   237    97   218    87   229 0.76 -
15470at4891_1|contig_2:377940-378977    -            346 11696at4891          -            390   1.3e-09   34.8   0.6   3   3      0.15       7.1    2.8   0.0   220   243   298   321   291   335 0.87 -
17147at4891_9|contig_14:1176799-1178028 -            410 11696at4891          -            390   1.3e-09   34.8   0.2   1   3     0.058       2.7    4.2   0.0   294   330   111   147   104   156 0.89 -
17147at4891_9|contig_14:1176799-1178028 -            410 11696at4891          -            390   1.3e-09   34.8   0.2   2   3   1.8e-08   8.3e-07   25.7   0.2   218   341   164   288   151   315 0.77 -
17147at4891_9|contig_14:1176799-1178028 -            410 11696at4891          -            390   1.3e-09   34.8   0.2   3   3      0.61        28    0.9   0.1   165   213   322   371   298   410 0.60 -
5986at4891_2|contig_2:487177-488715     -            513 11696at4891          -            390   3.5e-09   33.5   1.8   1   3      0.37        17    1.6   0.1   289   321    28    60    25    67 0.87 -
5986at4891_2|contig_2:487177-488715     -            513 11696at4891          -            390   3.5e-09   33.5   1.8   2   3   0.00032     0.015   11.7   0.1   274   331    95   155    62   163 0.70 -
5986at4891_2|contig_2:487177-488715     -            513 11696at4891          -            390   3.5e-09   33.5   1.8   3   3   5.1e-06   0.00024   17.6   0.0   229   329   183   285   170   289 0.74 -
17785at4891_2|contig_3:827964-829340    -            459 11696at4891          -            390     9e-09   32.1   7.7   1   4   0.00042     0.019   11.3   0.1   271   346   115   186    97   199 0.82 -
17785at4891_2|contig_3:827964-829340    -            459 11696at4891          -            390     9e-09   32.1   7.7   2   4      0.24        11    2.2   0.1   296   329   204   235   188   252 0.85 -
17785at4891_2|contig_3:827964-829340    -            459 11696at4891          -            390     9e-09   32.1   7.7   3   4    0.0078      0.36    7.1   0.1   289   331   276   318   270   329 0.91 -
17785at4891_2|contig_3:827964-829340    -            459 11696at4891          -            390     9e-09   32.1   7.7   4   4   0.00014    0.0062   12.9   0.1   226   272   387   439   361   452 0.50 -
6943at4891_4|contig_16:316645-318099    -            485 11696at4891          -            390   1.1e-08   31.8   9.7   1   4      0.21       9.6    2.4   0.2   313   334   133   154    76   169 0.59 -
6943at4891_4|contig_16:316645-318099    -            485 11696at4891          -            390   1.1e-08   31.8   9.7   2   4   1.6e-07   7.4e-06   22.5   0.1   282   342   200   261   187   269 0.85 -
6943at4891_4|contig_16:316645-318099    -            485 11696at4891          -            390   1.1e-08   31.8   9.7   3   4    0.0035      0.16    8.3   0.1   261   328   263   332   252   352 0.73 -
6943at4891_4|contig_16:316645-318099    -            485 11696at4891          -            390   1.1e-08   31.8   9.7   4   4    0.0012     0.054    9.8   0.8   170   247   296   380   284   400 0.72 -
17077at4891_3|contig_13:310121-310963   -            281 11696at4891          -            390   1.2e-08   31.8   2.5   1   2      0.03       1.4    5.2   0.3   211   245    18    52    11    70 0.66 -
17077at4891_3|contig_13:310121-310963   -            281 11696at4891          -            390   1.2e-08   31.8   2.5   2   2     1e-08   4.8e-07   26.4   0.1   226   329    74   179    59   197 0.83 -
17074at4891_2|contig_20:54833-56221     -            463 11696at4891          -            390   2.4e-08   30.7   0.5   1   2     0.055       2.5    4.3   0.1   294   332   258   295   173   306 0.59 -
17074at4891_2|contig_20:54833-56221     -            463 11696at4891          -            390   2.4e-08   30.7   0.5   2   2   6.9e-08   3.2e-06   23.7   0.0   221   314   312   406   300   425 0.78 -
11568at4891_2|contig_25:274915-276138   -            408 11696at4891          -            390   9.5e-08   28.8   2.6   1   3   4.2e-07   1.9e-05   21.2   0.1   216   331    47   173    31   185 0.75 -
11568at4891_2|contig_25:274915-276138   -            408 11696at4891          -            390   9.5e-08   28.8   2.6   2   3     0.013      0.59    6.4   0.2   272   289   309   326   260   341 0.54 -
11568at4891_2|contig_25:274915-276138   -            408 11696at4891          -            390   9.5e-08   28.8   2.6   3   3     0.012      0.53    6.5   0.1   272   297   309   335   278   383 0.68 -
17077at4891_2|contig_17:290336-291190   -            285 11696at4891          -            390     1e-07   28.7   2.8   1   3   0.00039     0.018   11.4   0.1   229   293    18    83     8    95 0.78 -
17077at4891_2|contig_17:290336-291190   -            285 11696at4891          -            390     1e-07   28.7   2.8   2   3    0.0063      0.29    7.4   0.1   274   331   126   183   114   199 0.78 -
17077at4891_2|contig_17:290336-291190   -            285 11696at4891          -            390     1e-07   28.7   2.8   3   3    0.0029      0.13    8.5   0.0   230   289   228   283   222   284 0.83 -
27209at4891_7|contig_12:526249-527970   -            574 11696at4891          -            390   2.8e-07   27.2   2.6   1   2   0.00016    0.0074   12.7   0.1   298   331   284   317   280   324 0.92 -
27209at4891_7|contig_12:526249-527970   -            574 11696at4891          -            390   2.8e-07   27.2   2.6   2   2   5.6e-05    0.0026   14.2   0.4   170   298   323   460   317   506 0.77 -
10660at4891_2|contig_12:85099-87051     -            651 11696at4891          -            390   2.9e-07   27.2   1.5   1   3    0.0086      0.39    7.0   0.0   296   331    77   112    27   139 0.86 -
10660at4891_2|contig_12:85099-87051     -            651 11696at4891          -            390   2.9e-07   27.2   1.5   2   3   0.00044      0.02   11.2   0.0   292   331   132   171   127   177 0.86 -
10660at4891_2|contig_12:85099-87051     -            651 11696at4891          -            390   2.9e-07   27.2   1.5   3   3    0.0083      0.38    7.0   0.1   209   288   176   258   170   266 0.70 -
4490at4891_2|contig_13:927939-930293    -            785 11696at4891          -            390     3e-07   27.1  11.6   1   4    0.0013     0.059    9.7   0.1   265   331    20    89     9   108 0.80 -
4490at4891_2|contig_13:927939-930293    -            785 11696at4891          -            390     3e-07   27.1  11.6   2   4       1.6        75   -0.5   0.0   314   333   219   238   188   258 0.59 -
4490at4891_2|contig_13:927939-930293    -            785 11696at4891          -            390     3e-07   27.1  11.6   3   4    0.0013     0.062    9.6   0.2   228   282   353   408   342   421 0.66 -
4490at4891_2|contig_13:927939-930293    -            785 11696at4891          -            390     3e-07   27.1  11.6   4   4    0.0005     0.023   11.0   0.1   236   339   584   693   556   735 0.70 -
24709at4891_2|contig_19:568817-569980   -            388 11696at4891          -            390   5.2e-07   26.3   0.8   1   2   3.2e-07   1.5e-05   21.6   0.5   230   342    74   189    17   198 0.72 -
24709at4891_2|contig_19:568817-569980   -            388 11696at4891          -            390   5.2e-07   26.3   0.8   2   2      0.22        10    2.3   0.0   227   245   304   322   292   335 0.78 -
7896at4891_2|contig_2:489252-491096     -            615 11696at4891          -            390   7.9e-07   25.7   3.0   1   3     0.028       1.3    5.3   0.0   291   346    54   113    47   129 0.65 -
7896at4891_2|contig_2:489252-491096     -            615 11696at4891          -            390   7.9e-07   25.7   3.0   2   3   0.00071     0.033   10.5   0.1   227   311   264   350   247   371 0.77 -
7896at4891_2|contig_2:489252-491096     -            615 11696at4891          -            390   7.9e-07   25.7   3.0   3   3     0.014      0.66    6.2   0.0   270   313   499   544   487   571 0.74 -
15697at4891_3|contig_17:408371-409825   -            485 11696at4891          -            390   9.1e-07   25.5   0.1   1   2       5.1   2.3e+02   -2.2   0.0   135   158    97   120    91   133 0.78 -
15697at4891_3|contig_17:408371-409825   -            485 11696at4891          -            390   9.1e-07   25.5   0.1   2   2   8.4e-08   3.9e-06   23.5   0.0   234   312   331   409   312   416 0.87 -
17074at4891_6|contig_13:512010-512720   -            237 11696at4891          -            390   1.5e-06   24.8   2.3   1   3    0.0045      0.21    7.9   0.1   228   328    10   107     2   113 0.74 -
17074at4891_6|contig_13:512010-512720   -            237 11696at4891          -            390   1.5e-06   24.8   2.3   2   3   3.2e-06   0.00015   18.3   0.2   226   331    48   155    44   165 0.78 -
17074at4891_6|contig_13:512010-512720   -            237 11696at4891          -            390   1.5e-06   24.8   2.3   3   3   7.6e-05    0.0035   13.7   0.4   212   328   119   237   116   237 0.75 -
16921at4891_7|contig_4:236757-237653    -            299 11696at4891          -            390   1.7e-06   24.7   0.6   1   2   1.5e-05   0.00069   16.1   0.2   198   329    25   152    10   157 0.81 -
16921at4891_7|contig_4:236757-237653    -            299 11696at4891          -            390   1.7e-06   24.7   0.6   2   2    0.0079      0.36    7.1   0.0   196   244   155   203   152   215 0.88 -
1653at4891_4|contig_13:269973-272027    -            685 11696at4891          -            390   1.6e-05   21.4   0.2   1   1     9e-07   4.1e-05   20.1   0.1   226   331     9   115     3   123 0.82 -
12947at4891_2|contig_5:63925-65199      -            425 11696at4891          -            390   2.6e-05   20.8   1.1   1   3     0.066         3    4.1   0.0   116   164    21    68    13    73 0.82 -
12947at4891_2|contig_5:63925-65199      -            425 11696at4891          -            390   2.6e-05   20.8   1.1   2   3   0.00019    0.0087   12.4   0.0   272   331    39   102    32   112 0.80 -
12947at4891_2|contig_5:63925-65199      -            425 11696at4891          -            390   2.6e-05   20.8   1.1   3   3     0.047       2.2    4.5   1.1   138   331   132   343   124   365 0.68 -
17077at4891_6|contig_27:153722-154366   -            215 11696at4891          -            390   4.4e-05   20.0   0.2   1   2   2.9e-05    0.0013   15.1   0.1   231   333    20   121     7   133 0.69 -
17077at4891_6|contig_27:153722-154366   -            215 11696at4891          -            390   4.4e-05   20.0   0.2   2   2      0.16       7.2    2.8   0.0   305   331   156   182   148   187 0.78 -
2368at4891_2|contig_12:134999-137800    -            934 11696at4891          -            390   4.5e-05   20.0   1.7   1   2   0.00045     0.021   11.2   0.1   215   326   411   522   402   530 0.82 -
2368at4891_2|contig_12:134999-137800    -            934 11696at4891          -            390   4.5e-05   20.0   1.7   2   2    0.0033      0.15    8.4   0.1   231   331   513   610   509   622 0.76 -
14374at4891_2|contig_13:332709-333749   -            347 11696at4891          -            390   5.5e-05   19.7   2.5   1   2   0.00093     0.043   10.1   0.2   295   330    50    86    24   101 0.84 -
14374at4891_2|contig_13:332709-333749   -            347 11696at4891          -            390   5.5e-05   19.7   2.5   2   2    0.0061      0.28    7.5   0.1   218   255   307   344   297   347 0.80 -
14677at4891_4|contig_14:168793-170358   -            522 11696at4891          -            390   0.00011   18.6   0.0   1   4      0.81        37    0.5   0.0   274   297   202   225   177   277 0.71 -
14677at4891_4|contig_14:168793-170358   -            522 11696at4891          -            390   0.00011   18.6   0.0   2   4   0.00033     0.015   11.6   0.0   215   330   289   419   242   421 0.72 -
14677at4891_4|contig_14:168793-170358   -            522 11696at4891          -            390   0.00011   18.6   0.0   3   4     0.059       2.7    4.2   0.0   211   252   386   427   380   440 0.84 -
14677at4891_4|contig_14:168793-170358   -            522 11696at4891          -            390   0.00011   18.6   0.0   4   4       6.5     3e+02   -2.5   0.0   217   248   446   477   428   510 0.64 -
10649at4891_2|contig_16:198326-200116   -            597 11696at4891          -            390   0.00019   17.9   7.8   1   3      0.31        14    1.8   0.0   259   289   171   201   158   216 0.88 -
10649at4891_2|contig_16:198326-200116   -            597 11696at4891          -            390   0.00019   17.9   7.8   2   3      0.14       6.2    3.0   0.0   261   319   305   363   265   398 0.82 -
10649at4891_2|contig_16:198326-200116   -            597 11696at4891          -            390   0.00019   17.9   7.8   3   3   1.3e-05   0.00062   16.2   0.0   212   258   410   455   405   552 0.69 -
33087at4891_2|contig_13:103254-104441   -            396 11696at4891          -            390   0.00022   17.7   0.2   1   2     0.057       2.6    4.3   0.0   224   246    23    45     3    98 0.85 -
33087at4891_2|contig_13:103254-104441   -            396 11696at4891          -            390   0.00022   17.7   0.2   2   2   0.00067     0.031   10.6   0.1   218   261   294   337   191   348 0.66 -
20201at4891_5|contig_2:470938-471882    -            315 11696at4891          -            390   0.00038   16.9   0.9   1   3       1.3        61   -0.2   0.0   231   244     2    15     1    36 0.79 -
20201at4891_5|contig_2:470938-471882    -            315 11696at4891          -            390   0.00038   16.9   0.9   2   3   0.00011     0.005   13.2   0.2   260   331    92   162    83   182 0.83 -
20201at4891_5|contig_2:470938-471882    -            315 11696at4891          -            390   0.00038   16.9   0.9   3   3       1.4        63   -0.3   0.0   139   165   259   286   198   301 0.69 -
16921at4891_6|contig_6:255886-256704    -            273 11696at4891          -            390   0.00042   16.7   7.3   1   2   0.00029     0.013   11.8   1.0   232   331    41   135    28   142 0.84 -
16921at4891_6|contig_6:255886-256704    -            273 11696at4891          -            390   0.00042   16.7   7.3   2   2    0.0044       0.2    7.9   0.3   230   289   209   264   201   271 0.54 -
17712at4891_2|contig_2:849820-851199    -            460 11696at4891          -            390   0.00055   16.4   1.1   1   3   0.00019    0.0085   12.5   0.0   208   287     9    99     3   108 0.69 -
17712at4891_2|contig_2:849820-851199    -            460 11696at4891          -            390   0.00055   16.4   1.1   2   3      0.48        22    1.2   0.0   217   245   147   175   129   216 0.75 -
17712at4891_2|contig_2:849820-851199    -            460 11696at4891          -            390   0.00055   16.4   1.1   3   3         3   1.4e+02   -1.4   0.0   218   239   376   397   346   410 0.73 -
10099at4891_3|contig_3:403949-405628    -            560 11696at4891          -            390   0.00091   15.7   0.3   1   1     4e-05    0.0018   14.7   0.1   229   282   159   211   150   225 0.77 -
21297at4891_1|contig_3:380300-381307    -            336 11696at4891          -            390     0.002   14.6   0.1   1   2       2.3   1.1e+02   -1.0   0.0   273   338   113   184    99   206 0.72 -
21297at4891_1|contig_3:380300-381307    -            336 11696at4891          -            390     0.002   14.6   0.1   2   2    0.0002    0.0094   12.3   0.0   215   272   250   306   228   324 0.62 -
16921at4891_0|contig_13:510455-511225   -            257 11696at4891          -            390    0.0029   14.0   0.1   1   2    0.0047      0.22    7.8   0.0   261   332    74   145    41   193 0.54 -
16921at4891_0|contig_13:510455-511225   -            257 11696at4891          -            390    0.0029   14.0   0.1   2   2     0.052       2.4    4.4   0.0   231   290   196   255   171   256 0.78 -
6691at4891_2|contig_20:138548-140266    -            573 11696at4891          -            390    0.0054   13.1   0.1   1   2   0.00039     0.018   11.4   0.0   221   331   242   352   181   357 0.87 -
6691at4891_2|contig_20:138548-140266    -            573 11696at4891          -            390    0.0054   13.1   0.1   2   2       6.1   2.8e+02   -2.4   0.0   214   245   471   502   462   508 0.82 -
24793at4891_2|contig_27:74478-75452     -            325 11696at4891          -            390    0.0087   12.4   0.3   1   1    0.0078      0.36    7.1   0.3   217   287   244   315   148   320 0.75 -
5370at4891_4|contig_17:325129-326763    -            545 11696at4891          -            390     0.009   12.4   0.0   1   1   0.00052     0.024   11.0   0.0   229   293   238   300   230   342 0.72 -
