#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3060at4891_2|contig_16:48934-51762      -            943 3060at4891           -            763         0 1120.7  41.2   1   1         0         0 1100.4  41.2     1   763     1   942     1   942 0.86 -
17074at4891_3|contig_25:163898-164776   -            293 3060at4891           -            763   8.9e-22   74.2   1.7   3   4   4.9e-12   1.8e-10   36.8   0.0    67   127   150   208   120   214 0.87 -
17074at4891_3|contig_25:163898-164776   -            293 3060at4891           -            763   8.9e-22   74.2   1.7   4   4   0.00064     0.024   10.0   0.1    34    93   200   255   195   293 0.59 -
17074at4891_6|contig_13:512010-512720   -            237 3060at4891           -            763   8.6e-21   71.0   2.5   1   3     6e-09   2.2e-07   26.6   0.0    70   147    11    87     1    94 0.87 -
17074at4891_6|contig_13:512010-512720   -            237 3060at4891           -            763   8.6e-21   71.0   2.5   2   3   2.9e-06   0.00011   17.7   0.0    56   126    80   153    73   154 0.78 -
17074at4891_6|contig_13:512010-512720   -            237 3060at4891           -            763   8.6e-21   71.0   2.5   3   3   4.4e-10   1.6e-08   30.4   0.4    35   125   147   237   135   237 0.82 -
29122at4891_2|contig_3:738061-739326    -            422 3060at4891           -            763   1.2e-20   70.5   6.9   1   4   4.4e-08   1.6e-06   23.8   3.4   233   400    32   211    11   217 0.74 -
29122at4891_2|contig_3:738061-739326    -            422 3060at4891           -            763   1.2e-20   70.5   6.9   2   4   2.6e-05   0.00097   14.6   0.0   464   556   137   233   133   240 0.85 -
29122at4891_2|contig_3:738061-739326    -            422 3060at4891           -            763   1.2e-20   70.5   6.9   3   4   6.4e-08   2.4e-06   23.2   0.0    65   134   237   306   233   316 0.91 -
29122at4891_2|contig_3:738061-739326    -            422 3060at4891           -            763   1.2e-20   70.5   6.9   4   4     2e-07   7.4e-06   21.6   0.0   503   573   349   419   340   421 0.81 -
17077at4891_6|contig_27:153722-154366   -            215 3060at4891           -            763   3.2e-20   69.1   2.9   1   2   7.1e-16   2.6e-14   49.5   0.5    63   173    11   127     3   133 0.87 -
17077at4891_6|contig_27:153722-154366   -            215 3060at4891           -            763   3.2e-20   69.1   2.9   2   2   5.9e-07   2.2e-05   20.0   0.1    96   145   152   199   145   215 0.65 -
17077at4891_2|contig_17:290336-291190   -            285 3060at4891           -            763   3.8e-19   65.6   8.2   1   3     1e-05   0.00039   15.9   0.2   541   573     1    32     1    36 0.89 -
17077at4891_2|contig_17:290336-291190   -            285 3060at4891           -            763   3.8e-19   65.6   8.2   2   3   4.7e-11   1.7e-09   33.6   0.3    97   165   112   183   104   207 0.55 -
17077at4891_2|contig_17:290336-291190   -            285 3060at4891           -            763   3.8e-19   65.6   8.2   3   3    0.0003     0.011   11.1   0.1    91   165   208   283   202   285 0.60 -
10099at4891_2|contig_4:594881-597400    -            840 3060at4891           -            763   1.3e-18   63.8   5.2   1   4     6e-05    0.0022   13.4   0.0   369   399    17    47     9    59 0.85 -
10099at4891_2|contig_4:594881-597400    -            840 3060at4891           -            763   1.3e-18   63.8   5.2   2   4   0.00016    0.0061   12.0   0.0    91   130    72   111    66   115 0.90 -
10099at4891_2|contig_4:594881-597400    -            840 3060at4891           -            763   1.3e-18   63.8   5.2   3   4   1.2e-09   4.4e-08   28.9   1.2   496   574   130   208   126   223 0.92 -
10099at4891_2|contig_4:594881-597400    -            840 3060at4891           -            763   1.3e-18   63.8   5.2   4   4    0.0031      0.12    7.7   0.0    65   125   322   383   297   391 0.83 -
16921at4891_7|contig_4:236757-237653    -            299 3060at4891           -            763   1.9e-18   63.2   1.8   1   3   3.1e-16   1.2e-14   50.7   0.2    30   194    15   181     2   184 0.80 -
16921at4891_7|contig_4:236757-237653    -            299 3060at4891           -            763   1.9e-18   63.2   1.8   2   3    0.0038      0.14    7.4   0.1    59    95   177   213   167   254 0.58 -
16921at4891_7|contig_4:236757-237653    -            299 3060at4891           -            763   1.9e-18   63.2   1.8   3   3     0.015      0.57    5.4   0.0    67    97   237   270   215   298 0.72 -
17785at4891_2|contig_3:827964-829340    -            459 3060at4891           -            763   2.5e-18   62.9   7.6   1   4   3.9e-08   1.5e-06   23.9   0.1   500   591   100   189    96   200 0.70 -
17785at4891_2|contig_3:827964-829340    -            459 3060at4891           -            763   2.5e-18   62.9   7.6   2   4   7.4e-05    0.0027   13.1   0.1   456   489   203   235   193   240 0.84 -
17785at4891_2|contig_3:827964-829340    -            459 3060at4891           -            763   2.5e-18   62.9   7.6   3   4    0.0014      0.05    8.9   0.2   151   174   304   327   278   340 0.69 -
17785at4891_2|contig_3:827964-829340    -            459 3060at4891           -            763   2.5e-18   62.9   7.6   4   4   1.7e-08   6.4e-07   25.1   0.4    36   152   311   431   306   443 0.75 -
8998at4891_7|contig_19:41018-42367      -            450 3060at4891           -            763     5e-18   61.8  10.6   1   3   8.2e-12   3.1e-10   36.1   5.4   421   548    80   207    61   210 0.89 -
8998at4891_7|contig_19:41018-42367      -            450 3060at4891           -            763     5e-18   61.8  10.6   2   3   1.9e-11   7.2e-10   34.9   3.6   470   573   172   275   166   282 0.92 -
8998at4891_7|contig_19:41018-42367      -            450 3060at4891           -            763     5e-18   61.8  10.6   3   3    0.0024     0.089    8.1   0.0   500   531   332   363   329   367 0.93 -
16921at4891_3|contig_7:193212-193847    -            212 3060at4891           -            763   5.4e-18   61.7   1.9   1   3   0.00082      0.03    9.6   0.0   139   172     1    37     1    55 0.67 -
16921at4891_3|contig_7:193212-193847    -            212 3060at4891           -            763   5.4e-18   61.7   1.9   2   3   6.5e-15   2.4e-13   46.4   0.0    67   132    75   136    61   154 0.83 -
16921at4891_3|contig_7:193212-193847    -            212 3060at4891           -            763   5.4e-18   61.7   1.9   3   3     0.053         2    3.7   0.1    26    83   157   212   153   212 0.78 -
7896at4891_2|contig_2:489252-491096     -            615 3060at4891           -            763   6.2e-18   61.5   3.1   1   4   0.00068     0.025    9.9   0.0    45   126     7    94     1   101 0.77 -
7896at4891_2|contig_2:489252-491096     -            615 3060at4891           -            763   6.2e-18   61.5   3.1   2   4   1.3e-08   4.6e-07   25.6   0.8    31   163   225   363   210   377 0.67 -
7896at4891_2|contig_2:489252-491096     -            615 3060at4891           -            763   6.2e-18   61.5   3.1   3   4    0.0043      0.16    7.3   0.0    37   146   429   537   407   539 0.62 -
7896at4891_2|contig_2:489252-491096     -            615 3060at4891           -            763   6.2e-18   61.5   3.1   4   4   1.3e-05   0.00049   15.6   0.1    56   130   541   615   524   615 0.80 -
17147at4891_9|contig_14:1176799-1178028 -            410 3060at4891           -            763   1.2e-17   60.6   0.1   1   3     2e-12   7.6e-11   38.1   0.0   501   577   115   193   110   199 0.89 -
17147at4891_9|contig_14:1176799-1178028 -            410 3060at4891           -            763   1.2e-17   60.6   0.1   2   3   1.9e-05   0.00072   15.0   0.1   524   574   225   277   212   281 0.55 -
17147at4891_9|contig_14:1176799-1178028 -            410 3060at4891           -            763   1.2e-17   60.6   0.1   3   3     0.068       2.5    3.3   0.0    54   128   289   368   281   390 0.73 -
15470at4891_1|contig_2:377940-378977    -            346 3060at4891           -            763     3e-17   59.3   1.3   1   3   1.9e-12   7.2e-11   38.2   0.1    92   172     4    89     2    94 0.69 -
15470at4891_1|contig_2:377940-378977    -            346 3060at4891           -            763     3e-17   59.3   1.3   2   3   2.8e-06    0.0001   17.8   0.1    59   138   156   236   120   262 0.80 -
15470at4891_1|contig_2:377940-378977    -            346 3060at4891           -            763     3e-17   59.3   1.3   3   3      0.44        16    0.6   0.0   536   573   284   321   266   343 0.81 -
16305at4891_3|contig_4:370794-372398    -            535 3060at4891           -            763   3.3e-17   59.1   4.9   1   3   1.5e-09   5.5e-08   28.6   0.4    47   134   211   297   180   313 0.87 -
16305at4891_3|contig_4:370794-372398    -            535 3060at4891           -            763   3.3e-17   59.1   4.9   2   3   2.3e-10   8.7e-09   31.3   0.3    77   168   338   433   306   447 0.86 -
16305at4891_3|contig_4:370794-372398    -            535 3060at4891           -            763   3.3e-17   59.1   4.9   3   3       1.3        49   -1.0   0.0   423   452   446   475   437   490 0.65 -
4490at4891_2|contig_13:927939-930293    -            785 3060at4891           -            763   1.3e-16   57.2  14.9   1   5   8.1e-09     3e-07   26.2   0.2    63   574    22   131     3   145 0.47 -
4490at4891_2|contig_13:927939-930293    -            785 3060at4891           -            763   1.3e-16   57.2  14.9   2   5     0.013      0.47    5.7   0.0   534   602   191   264   186   276 0.69 -
4490at4891_2|contig_13:927939-930293    -            785 3060at4891           -            763   1.3e-16   57.2  14.9   3   5     0.051       1.9    3.7   0.2    95   127   278   310   268   322 0.87 -
4490at4891_2|contig_13:927939-930293    -            785 3060at4891           -            763   1.3e-16   57.2  14.9   4   5      0.32        12    1.1   0.1   517   572   354   412   344   417 0.80 -
4490at4891_2|contig_13:927939-930293    -            785 3060at4891           -            763   1.3e-16   57.2  14.9   5   5   6.9e-09   2.6e-07   26.4   0.1   456   577   553   687   551   696 0.81 -
16921at4891_4|contig_2:441697-442182    -            162 3060at4891           -            763   1.3e-16   57.2   4.1   1   2   9.3e-07   3.5e-05   19.4   0.3    93   166    13    97     1   102 0.55 -
16921at4891_4|contig_2:441697-442182    -            162 3060at4891           -            763   1.3e-16   57.2   4.1   2   2   1.2e-12   4.6e-11   38.8   0.4   454   515   101   161    95   162 0.93 -
8291at4891_7|contig_25:639374-641518    -            715 3060at4891           -            763     3e-16   56.0  12.2   1   4     0.011      0.39    6.0   0.3   541   576     9    43     3    53 0.63 -
8291at4891_7|contig_25:639374-641518    -            715 3060at4891           -            763     3e-16   56.0  12.2   2   4   2.5e-08   9.1e-07   24.6   3.1   455   560    93   194    77   194 0.87 -
8291at4891_7|contig_25:639374-641518    -            715 3060at4891           -            763     3e-16   56.0  12.2   3   4   1.4e-14   5.1e-13   45.3   1.8   469   576   146   250   130   256 0.86 -
8291at4891_7|contig_25:639374-641518    -            715 3060at4891           -            763     3e-16   56.0  12.2   4   4      0.08         3    3.1   0.1   369   400   261   291   251   321 0.72 -
6943at4891_4|contig_16:316645-318099    -            485 3060at4891           -            763   1.2e-15   53.9  11.4   1   5   4.3e-05    0.0016   13.9   0.0    68   105    80   117    67   123 0.87 -
6943at4891_4|contig_16:316645-318099    -            485 3060at4891           -            763   1.2e-15   53.9  11.4   2   5     0.032       1.2    4.4   0.2   475   497   135   157   129   174 0.56 -
6943at4891_4|contig_16:316645-318099    -            485 3060at4891           -            763   1.2e-15   53.9  11.4   3   5   1.3e-05   0.00049   15.6   0.1    52   130   175   252   159   265 0.84 -
6943at4891_4|contig_16:316645-318099    -            485 3060at4891           -            763   1.2e-15   53.9  11.4   4   5   1.6e-05   0.00058   15.3   0.0   514   575   273   335   266   339 0.90 -
6943at4891_4|contig_16:316645-318099    -            485 3060at4891           -            763   1.2e-15   53.9  11.4   5   5    0.0035      0.13    7.6   0.1   464   488   351   375   340   381 0.80 -
11568at4891_2|contig_25:274915-276138   -            408 3060at4891           -            763   2.4e-15   53.0   5.0   1   3   3.5e-06   0.00013   17.5   0.0    91   147    39    93    30   107 0.86 -
11568at4891_2|contig_25:274915-276138   -            408 3060at4891           -            763   2.4e-15   53.0   5.0   2   3   6.5e-09   2.4e-07   26.5   1.4   513   573   111   171    94   177 0.94 -
11568at4891_2|contig_25:274915-276138   -            408 3060at4891           -            763   2.4e-15   53.0   5.0   3   3    0.0016     0.061    8.6   0.0    93   130   289   328   280   351 0.77 -
12947at4891_2|contig_5:63925-65199      -            425 3060at4891           -            763   1.9e-14   50.0   0.8   1   3   3.6e-07   1.3e-05   20.7   0.0   333   399    31   102    19   111 0.79 -
12947at4891_2|contig_5:63925-65199      -            425 3060at4891           -            763   1.9e-14   50.0   0.8   2   3   1.3e-07     5e-06   22.2   0.1   328   420   168   265   162   285 0.81 -
12947at4891_2|contig_5:63925-65199      -            425 3060at4891           -            763   1.9e-14   50.0   0.8   3   3     0.041       1.5    4.0   0.3    68   128   280   343   261   348 0.67 -
20201at4891_2|contig_14:976480-977445   -            322 3060at4891           -            763   3.5e-14   49.1  17.8   1   2   3.4e-15   1.3e-13   47.3  14.2   371   577    13   228    10   236 0.83 -
20201at4891_2|contig_14:976480-977445   -            322 3060at4891           -            763   3.5e-14   49.1  17.8   2   2      0.37        14    0.9   0.1   368   396   288   321   259   322 0.72 -
16921at4891_0|contig_13:510455-511225   -            257 3060at4891           -            763   4.3e-14   48.8   0.4   1   2   1.8e-13   6.9e-12   41.5   0.1    71   178    45   157    16   191 0.78 -
16921at4891_0|contig_13:510455-511225   -            257 3060at4891           -            763   4.3e-14   48.8   0.4   2   2      0.01      0.37    6.1   0.0    61   127   185   253   175   257 0.65 -
17077at4891_3|contig_13:310121-310963   -            281 3060at4891           -            763   6.2e-14   48.3   4.4   1   4    0.0055       0.2    6.9   0.1    39    94     6    60     2    74 0.78 -
17077at4891_3|contig_13:310121-310963   -            281 3060at4891           -            763   6.2e-14   48.3   4.4   2   4   1.5e-10   5.7e-09   31.9   0.3    68   146    75   154    66   160 0.89 -
17077at4891_3|contig_13:310121-310963   -            281 3060at4891           -            763   6.2e-14   48.3   4.4   3   4      0.42        16    0.7   0.1    67   123   160   217   140   220 0.75 -
17077at4891_3|contig_13:310121-310963   -            281 3060at4891           -            763   6.2e-14   48.3   4.4   4   4    0.0018     0.065    8.5   0.0   347   398   222   275   211   277 0.81 -
33087at4891_2|contig_13:103254-104441   -            396 3060at4891           -            763   2.7e-12   42.9   0.4   1   3      0.02      0.74    5.1   0.0   143   165    22    44    12    77 0.78 -
33087at4891_2|contig_13:103254-104441   -            396 3060at4891           -            763   2.7e-12   42.9   0.4   2   3    0.0013     0.046    9.0   0.0    55   102   184   231   167   257 0.76 -
33087at4891_2|contig_13:103254-104441   -            396 3060at4891           -            763   2.7e-12   42.9   0.4   3   3   1.6e-08   5.8e-07   25.2   0.1   350   426   272   346   265   352 0.75 -
28907at4891_2|contig_20:859065-860021   -            319 3060at4891           -            763   6.8e-12   41.6   0.5   1   2   3.6e-08   1.3e-06   24.1   0.7   463   531    42   113    34   119 0.84 -
28907at4891_2|contig_20:859065-860021   -            319 3060at4891           -            763   6.8e-12   41.6   0.5   2   2   1.6e-05   0.00058   15.3   0.0    67   129   158   223   134   238 0.77 -
4263at4891_2|contig_20:740125-743160    -           1012 3060at4891           -            763   1.9e-11   40.1  17.2   1   4   5.3e-11     2e-09   33.4   5.9   482   600   158   273     4   284 0.62 -
4263at4891_2|contig_20:740125-743160    -           1012 3060at4891           -            763   1.9e-11   40.1  17.2   2   4      0.29        11    1.2   0.1   363   398   265   300   254   312 0.80 -
4263at4891_2|contig_20:740125-743160    -           1012 3060at4891           -            763   1.9e-11   40.1  17.2   3   4      0.21       7.9    1.7   0.4   294   356   769   843   680   848 0.71 -
4263at4891_2|contig_20:740125-743160    -           1012 3060at4891           -            763   1.9e-11   40.1  17.2   4   4     0.016      0.61    5.3   0.1   358   402   926   969   909   994 0.73 -
6711at4891_3|contig_26:300073-302241    -            723 3060at4891           -            763     4e-11   39.0   0.7   1   3   3.9e-05    0.0014   14.0   0.0   367   447   301   378   289   384 0.84 -
6711at4891_3|contig_26:300073-302241    -            723 3060at4891           -            763     4e-11   39.0   0.7   2   3   1.1e-06     4e-05   19.2   0.1    33   101   614   683   595   688 0.66 -
6711at4891_3|contig_26:300073-302241    -            723 3060at4891           -            763     4e-11   39.0   0.7   3   3       0.2       7.5    1.7   0.0    65    85   701   721   686   723 0.80 -
6943at4891_1|contig_4:208656-209474     -            273 3060at4891           -            763   1.9e-10   36.8   2.3   1   2     0.015      0.57    5.4   0.1    51    86    52    87    41    99 0.60 -
6943at4891_1|contig_4:208656-209474     -            273 3060at4891           -            763   1.9e-10   36.8   2.3   2   2   3.9e-10   1.4e-08   30.6   0.3    33   125   173   268   153   272 0.82 -
5986at4891_2|contig_2:487177-488715     -            513 3060at4891           -            763     2e-10   36.7   0.0   1   1   1.2e-11   4.5e-10   35.5   0.0    30   223    56   266    26   278 0.70 -
1495at4891_2|contig_14:101101-104910    -           1270 3060at4891           -            763   4.9e-10   35.4   6.2   1   3   8.1e-08     3e-06   22.9   0.5    33   127    38   138    25   143 0.81 -
1495at4891_2|contig_14:101101-104910    -           1270 3060at4891           -            763   4.9e-10   35.4   6.2   2   3   2.1e-05   0.00077   14.9   0.2    20   126   166   286   155   301 0.61 -
1495at4891_2|contig_14:101101-104910    -           1270 3060at4891           -            763   4.9e-10   35.4   6.2   3   3    0.0023     0.087    8.1   0.0   501   606   255   362   252   373 0.78 -
13320at4891_1|contig_17:374252-375346   -            365 3060at4891           -            763   6.3e-10   35.1   0.3   1   2   5.7e-09   2.1e-07   26.7   0.1   307   447    51   201    45   209 0.73 -
13320at4891_1|contig_17:374252-375346   -            365 3060at4891           -            763   6.3e-10   35.1   0.3   2   2      0.21         8    1.6   0.0   508   559   274   325   269   335 0.75 -
2568at4891_2|contig_14:683282-686707    -           1142 3060at4891           -            763     7e-10   34.9   0.1   1   1   3.1e-11   1.1e-09   34.2   0.1    29   167    81   230    67   246 0.77 -
24709at4891_2|contig_19:568817-569980   -            388 3060at4891           -            763   1.1e-09   34.2   0.2   1   3     0.068       2.5    3.3   0.0    62   115    20    75     3    78 0.69 -
24709at4891_2|contig_19:568817-569980   -            388 3060at4891           -            763   1.1e-09   34.2   0.2   2   3     5e-07   1.8e-05   20.3   0.0    26   129    70   179    64   188 0.78 -
24709at4891_2|contig_19:568817-569980   -            388 3060at4891           -            763   1.1e-09   34.2   0.2   3   3    0.0021     0.077    8.3   0.0   501   532   288   321   283   324 0.85 -
10660at4891_2|contig_12:85099-87051     -            651 3060at4891           -            763   1.1e-09   34.2   0.0   1   3    0.0005     0.018   10.4   0.0    93   129    76   113    65   123 0.85 -
10660at4891_2|contig_12:85099-87051     -            651 3060at4891           -            763   1.1e-09   34.2   0.0   2   3   7.6e-07   2.8e-05   19.7   0.0   501   579   138   216   131   224 0.60 -
10660at4891_2|contig_12:85099-87051     -            651 3060at4891           -            763   1.1e-09   34.2   0.0   3   3      0.97        36   -0.5   0.0    18    90   229   310   224   334 0.69 -
14374at4891_2|contig_13:332709-333749   -            347 3060at4891           -            763   1.9e-09   33.5   6.8   1   3   4.4e-06   0.00016   17.1   2.8   501   578     7    90     5   101 0.86 -
14374at4891_2|contig_13:332709-333749   -            347 3060at4891           -            763   1.9e-09   33.5   6.8   2   3      0.04       1.5    4.1   0.0    66    88   226   248   168   281 0.65 -
14374at4891_2|contig_13:332709-333749   -            347 3060at4891           -            763   1.9e-09   33.5   6.8   3   3   0.00011    0.0039   12.6   0.1   540   576   299   335   291   340 0.87 -
5443at4891_2|contig_14:1088388-1090643  -            752 3060at4891           -            763   3.9e-09   32.4  10.2   1   3    0.0084      0.31    6.3   0.3    46   166    64   193    25   207 0.61 -
5443at4891_2|contig_14:1088388-1090643  -            752 3060at4891           -            763   3.9e-09   32.4  10.2   2   3   1.8e-07   6.7e-06   21.7   0.1    53   123   211   281   191   285 0.85 -
5443at4891_2|contig_14:1088388-1090643  -            752 3060at4891           -            763   3.9e-09   32.4  10.2   3   3     0.003      0.11    7.8   1.2     7   165   344   505   338   597 0.75 -
1653at4891_4|contig_13:269973-272027    -            685 3060at4891           -            763   1.7e-08   30.4   0.0   1   1   6.2e-10   2.3e-08   29.9   0.0   433   558    12   140     1   164 0.60 -
16921at4891_3|contig_14:495798-496592   -            265 3060at4891           -            763   2.6e-08   29.7   0.2   1   3   7.7e-07   2.8e-05   19.7   0.1   506   567     5    68     1    77 0.77 -
16921at4891_3|contig_14:495798-496592   -            265 3060at4891           -            763   2.6e-08   29.7   0.2   2   3    0.0051      0.19    7.0   0.0    59    92    97   131    73   163 0.66 -
16921at4891_3|contig_14:495798-496592   -            265 3060at4891           -            763   2.6e-08   29.7   0.2   3   3       1.9        70   -1.5   0.0    97   126   165   194   157   206 0.73 -
16921at4891_5|contig_3:821998-822693    -            232 3060at4891           -            763   2.7e-08   29.6  13.5   1   3    0.0085      0.32    6.3   0.2    58   129     3    84     1    86 0.60 -
16921at4891_5|contig_3:821998-822693    -            232 3060at4891           -            763   2.7e-08   29.6  13.5   2   3   1.2e-08   4.4e-07   25.7   8.6   475   571    67   167    57   174 0.86 -
